Transaction
"['River City Pub', 'Julia Oliver', 'Low', 'Medium']"
"['Simon &amp; Schuster Audio', 'Mary Higgins Clark', 'Medium', 'Long']"
"['Atria', 'Marc Levy', 'Medium', 'Short']"
"['Harmony', 'Jeanne Ray', 'Medium', 'Medium']"
"['Warner Books', 'Nicholas Sparks', 'Medium', 'Long']"
"['Little, Brown', 'James Patterson', 'High', 'Long']"
"['Dutton Books', 'Eric Jerome Dickey', 'Low', 'Short']"
"['Random House Inc', 'Claude Lanzmann', 'Medium', 'Medium']"
"['Trafalgar Square', 'Matthew Thomas', 'Low', 'Long']"
"[""Michael O'Mara Books"", 'David Crombie', 'Low', 'Long']"
"['Firebrand Books', 'Leslie Feinberg', 'High', 'Long']"
"['Windstorm Creative', 'Chris Anne Wolfe', 'Low', 'Short']"
"['Akashic Books', 'Lauren Sanders', 'Low', 'Long']"
"['Firebrand Books', 'Jody Seay', 'Low', 'Medium']"
"['Firebrand Books', 'Jody Seay', 'Low', 'Long']"
"['Warner Books', 'Carolyn Chute', 'Low', 'Medium']"
"['Avon', 'Isobel Bird', 'Medium', 'Long']"
"['Farrar Straus Giroux', 'Nancy Garden', 'Low', 'Long']"
"['Del Sol Press', 'Thomas Harris', 'High', 'Medium']"
"['Delacorte Press', 'Thomas Harris', 'High', 'Long']"
"['Editorial Grijalbo, S.A. de C.V.', 'Thomas Harris', 'High', 'Long']"
"['Random House Audio Publishing Group', 'Thomas Harris', 'High', 'Long']"
"['Random House Audio Publishing Group', 'Thomas Harris', 'High', 'Long']"
"['Pocket', 'Stephen King', 'High', 'Long']"
"['Scribner', 'Stephen King', 'High', 'Medium']"
"['Manning Publications', 'Andrew L. Johnson', 'Low', 'Medium']"
"['Penguin USA', 'John Mortimer', 'Low', 'Medium']"
"['Random House', 'E. L. Doctorow', 'High', 'Long']"
"['Scholastic', 'Rachel Roberts', 'Medium', 'Long']"
"['Putnam Publishing Group', 'Tom Clancy', 'High', 'Short']"
"['Adams Media Corp', 'Tom Mula', 'Low', 'Medium']"
"['Berkley Publishing Group', 'Robin Cook', 'Low', 'Medium']"
"['Berkley Pub Group', 'Robin Cook', 'Low', 'Medium']"
"['Infinity Publishing.com', 'Jonathan Pearce', 'Low', 'Short']"
"['Infinity Publishing.com', 'Jonathan Pearce', 'Low', 'Medium']"
"['Buy Books on the web.com', 'Jonathan Pearce', 'Low', 'Long']"
"['1stBooks Library', 'Jonathan Pearce', 'Low', 'Medium']"
"['Infinity Publishing (PA)', 'Jonathan Pearce', 'Low', 'Medium']"
"['Infinity Publishing (PA)', 'Jonathan Pearce', 'Low', 'Long']"
"['Infinity Publishing (PA)', 'Jonathan Pearce', 'Low', 'Medium']"
"['Infinity Publishing (PA)', 'Jonathan Pearce', 'Low', 'Short']"
"['Epicenter Press', 'Harry M. Walker', 'Low', 'Short']"
"['Bantam Press', 'Nicholas Evans', 'High', 'Long']"
"['AuthorsOmniscient Publishers', 'Malcolm Goodway', 'Low', 'Long']"
"['Rowohlt Tb.', 'Armistead Maupin', 'Low', 'Long']"
"['Little Brown and Company', 'James Patterson', 'High', 'Medium']"
"['Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.', 'Christopher Weidner', 'Low', 'Medium']"
"['Dove Books', 'Melinda Haynes', 'Medium', 'Short']"
"['Star Trek', 'Jean Lorrah', 'Medium', 'Medium']"
"['Ace Books', 'Lionel Fenn', 'Low', 'Long']"
"['Zondervan', 'Adrian Plass', 'Low', 'Long']"
"['Ecco', 'Charles Bukowski', 'Medium', 'Medium']"
"['Beltz', 'Janosch', 'Low', 'Short']"
"['Delacorte Press', 'Al Franken', 'Low', 'Medium']"
"['Island', 'Al Franken', 'Low', 'Long']"
"['Workman Publishing', 'Barbara Ann Kipfer', 'Low', 'Long']"
"['Ballantine Books', 'Anne McCaffrey', 'High', 'Long']"
"['Jove Books', 'Jayne Ann Krentz', 'Low', 'Short']"
"['Jove Books', 'Donna Fletcher', 'Low', 'Long']"
"['Adams Media Corp', 'Ann Rae Jonas', 'Low', 'Long']"
"['University of Toronto Press', 'Dyanne Gibson', 'Low', 'Long']"
"['H.J. Kramer', 'Dan Millman', 'Low', 'Long']"
"['Delacorte Press', 'Judy Blume', 'High', 'Medium']"
"['Random House Inc', 'Jane Mendelsohn', 'Low', 'Long']"
"['Columbia University Press', 'Mark A. S. McMenamin', 'Low', 'Long']"
"['Bantam Books', 'Kay Hooper', 'Low', 'Long']"
"['Gallimard', 'Dick', 'Low', 'Medium']"
"['Berkley Publishing Group', 'Carolyn Wheat', 'Low', 'Short']"
"['Ballantine Books', 'Terry Brooks', 'Medium', 'Medium']"
"['Henry Holt &amp; Company', 'Rikki Ducornet', 'Low', 'Long']"
"['Andrews McMeel Publishing', 'Bill Watterson', 'Medium', 'Medium']"
"['Scribner', 'Frederick Buechner', 'Medium', 'Long']"
"['Stoddart Kids', 'Veronika Martenova Charles', 'Low', 'Long']"
"['Random House Audio Publishing Group', 'John Grisham', 'High', 'Long']"
"['Picador', 'Justine Ettler', 'Low', 'Long']"
"['Riverhead Books', ""Nuala O'Faolain"", 'Low', 'Medium']"
"['Fischer (Tb.), Frankfurt', 'Oscar Hijuelos', 'Low', 'Medium']"
"['Sybex Inc', 'Arman Danesh', 'Low', 'Medium']"
"['Book Sales', 'Emma Callery', 'Low', 'Medium']"
"['Alfaguara Ediciones, S.A. (Spain)', 'Fernando Iwasaki Cauti', 'Low', 'Long']"
"['Ediciones Lengua de Trapo', 'Rafael Reig', 'Low', 'Medium']"
"['Harpercollins', 'Anne Rivers Siddons', 'Medium', 'Long']"
"['Farrar, Straus and Giroux', 'Salley Vickers', 'Medium', 'Long']"
"['Highbridge Audio', 'Michael Chabon', 'High', 'Long']"
"['Peachpit Press', 'Elaine Weinmann', 'Low', 'Short']"
"['Baen', 'Lois McMaster Bujold', 'Medium', 'Medium']"
"['Harpercollins', 'John Barnes', 'Low', 'Long']"
"['Pub Group West', 'Richard Dalby', 'Low', 'Long']"
"['Jove Books', 'Lilian Jackson Braun', 'Low', 'Medium']"
"['HarperCollins Publishers', 'Louise Erdrich', 'Medium', 'Medium']"
"['Warner Books', 'David Baldacci', 'High', 'Long']"
"['Tor Books', 'Phyllis Gotlieb', 'Low', 'Medium']"
"['Santillana USA Publishing Company', 'Tracy Chevalier', 'Low', 'Medium']"
"['Harlequin Enterprises Limited', 'Rebecca Flanders', 'Low', 'Long']"
"['Mira', 'Robyn Carr', 'Medium', 'Medium']"
"['Bantam Books', ""Louis L'Amour"", 'Medium', 'Long']"
"['Nan A. Talese', 'Janet Wallach', 'Medium', 'Long']"
"['Putnam Pub Group', 'Connie May Fowler', 'Low', 'Long']"
"['Robert Rose', 'Donna-Marie Pye', 'Low', 'Medium']"
"['Tor Books', 'Robert Jordan', 'High', 'Long']"
"['Tor Fantasy', 'Robert Jordan', 'High', 'Long']"
"['Goldmann', 'Minette Walters', 'Low', 'Medium']"
"['Maverick Publications', 'Jane Kirkpatrick', 'Low', 'Long']"
"['Hyperion', 'George Carlin', 'Medium', 'Long']"
"['Avon', 'David D. Burns', 'Low', 'Long']"
"['Perennial Currents', 'David D. Burns', 'Low', 'Long']"
"['Longstreet Press', 'Jeff Foxworthy', 'Low', 'Medium']"
"[""Random House Children's Books"", 'Stan Berenstain', 'Low', 'Long']"
"['Random House Childrens Books', 'Stan Berenstain', 'Low', 'Long']"
"['Del Rey Books', 'Carole Nelson Douglas', 'Low', 'Medium']"
"['NÃ³rdica', 'Roberto Schneider', 'Low', 'Long']"
"['Simon &amp; Schuster', 'James Finn Garner', 'Low', 'Long']"
"[""G. P. Putnam's Sons"", 'Greg Iles', 'Medium', 'Medium']"
"['Andrews McMeel Publishing', 'Scott Adams', 'Low', 'Medium']"
"['Little, Brown', 'Michael Connelly', 'Medium', 'Medium']"
"['Warner Books', 'Robert James Waller', 'Medium', 'Long']"
"['Random House Audio', 'Michael Crichton', 'High', 'Long']"
"['Ramparts Press', 'Len Richmond', 'Low', 'Medium']"
"['W. W. Norton &amp; Company', 'Herbert Hendin', 'Low', 'Medium']"
"['Atria', 'Shirley MacLaine', 'Medium', 'Medium']"
"['Pocket', 'Ellis Weiner', 'Low', 'Long']"
"['HarperCollins', 'Shel Silverstein', 'Medium', 'Medium']"
"['Fireside', 'Sark', 'Low', 'Long']"
"['Doubleday Books', 'John Grisham', 'High', 'Long']"
"['Del Rey Books', 'James L. Halperin', 'Low', 'Long']"
"['Harper Mass Market Paperbacks', 'Shirlee Busbee', 'Low', 'Long']"
"['Avon', 'Johanna Lindsey', 'Low', 'Long']"
"['Pond Publishing', 'Chris Sorensen', 'Low', 'Long']"
"['Hoffmann &amp; Campe', 'Erika Pluhar', 'Low', 'Long']"
"['Distribooks', 'Louise Rennison', 'Low', 'Long']"
"['Valdemar', 'Edgar Allan Poe', 'Low', 'Long']"
"['Ediciones B', 'Katherine Neville', 'Low', 'Long']"
"['Penguin Books', 'Larry Millett', 'Low', 'Long']"
"['Bantam Books', 'Betty J. Eadie', 'Low', 'Medium']"
"['Ballantine Books', 'Alan Dean Foster', 'Medium', 'Long']"
"['Alfred A. Knopf', 'Gretchen McHugh', 'Low', 'Long']"
"['Berkley Publishing Group', 'Sharon A. Feaster', 'Low', 'Long']"
"['Mira Books', 'Nan Ryan', 'Low', 'Long']"
"['Leisure Books', 'Sandra Hill', 'Low', 'Medium']"
"['Bantam Books', 'Josie Litton', 'Low', 'Medium']"
"['Dell Publishing Company', 'Claire Delacroix', 'Low', 'Medium']"
"['Putnam Pub Group', 'Lilian Jackson Braun', 'Low', 'Long']"
"['Scribner', 'Alan Paton', 'Low', 'Medium']"
"['Diogenes Verlag', 'Martin Suter', 'Low', 'Long']"
"['Baen', 'Elizabeth Moon', 'Low', 'Long']"
"['Dawnsign Press', 'Holcomb', 'Low', 'Long']"
"['Roc', 'Anne McCaffrey', 'Medium', 'Long']"
"['Perennial', 'Neal Stephenson', 'Medium', 'Long']"
"['Daw Books', 'Tanya Huff', 'Low', 'Medium']"
"['Guernica Editions', 'Sharlee Dieguez', 'Low', 'Long']"
"['Xlibris Corporation', 'Maurice A. Williams', 'Low', 'Short']"
"['Scribner', 'Frank McCourt', 'High', 'Medium']"
"['Star Trek', 'Diane Carey', 'Low', 'Long']"
"['Avon', 'Johanna Lindsey', 'Medium', 'Medium']"
"['Zebra Books', 'Elizabeth Doyle', 'Medium', 'Long']"
"['Dell Publishing Company', 'Heather Graham', 'Medium', 'Medium']"
"['Putnam Publishing Group', 'Tom Clancy', 'High', 'Long']"
"['Pocket Star', 'Brad Thor', 'Low', 'Long']"
"['St Martins Pr', 'Mark Merlis', 'Low', 'Medium']"
"['Arte Publico Press', 'Luis Valdez', 'Low', 'Short']"
"['Putnam Pub Group', 'Amy Tan', 'High', 'Long']"
"['Chronicle Books Llc', 'Andrea Mohin', 'Low', 'Medium']"
"['Publishamerica', 'Anthony M. Fauglid', 'Low', 'Long']"
"['Prentice Hall Art', 'Rosalie Maggio', 'Low', 'Medium']"
"['Kiepenheuer &amp; Witsch GmbH &amp; Co. KG, Verlag', 'Ahne', 'Low', 'Long']"
"['Goldmann', 'David L. Lindsey', 'Low', 'Long']"
"['Baen', 'Mary Brown', 'Low', 'Medium']"
"['Baen', 'Mary Brown', 'Low', 'Long']"
"['Teri Woods Publishing', 'Shannon Holmes', 'Low', 'Medium']"
"['Piper', 'Franziska Stalmann', 'Low', 'Short']"
"['Aufbau Tb', 'Claudio Paglieri', 'Low', 'Long']"
"['Diogenes Verlag', 'Susanna Tamaro', 'Low', 'Medium']"
"['Harcourt', 'Gloria Naylor', 'Medium', 'Long']"
"['Pocket', 'Julie Garwood', 'Low', 'Long']"
"['Jove Books', 'Nora Roberts', 'High', 'Long']"
"['Michael Joseph', 'Nicci French', 'Low', 'Long']"
"[""G. P. Putnam's Sons"", 'Robert B. Parker', 'Low', 'Long']"
"['Planeta Pub Corp', 'Sidney D. Kirkpatrick', 'Low', 'Long']"
"['Little Brown and Company', 'Angela Huth', 'Low', 'Medium']"
"['Punto de Lectura', 'Manuel Rivas', 'Low', 'Long']"
"['Rowohlt Tb.', 'John Updike', 'Low', 'Short']"
"['Seuil', 'Eduardo Mendoza', 'Low', 'Medium']"
"['Dutton Books', 'Tracy Chevalier', 'High', 'Medium']"
"['Little Brown &amp; Co', 'Martha Cooley', 'Medium', 'Long']"
"['Scholastic Paperbacks (Mm)', 'Ruth Chew', 'Low', 'Long']"
"['HarperFestival', 'Heidi Murkoff', 'Low', 'Medium']"
"['Atria', 'Linda Howard', 'Medium', 'Long']"
"['Simon &amp; Schuster Audio', 'Linda Howard', 'Medium', 'Long']"
"['Audio Literature', 'Lilian Jackson Braun', 'Low', 'Medium']"
"['Fireside', 'Ingrid Newkirk', 'Low', 'Long']"
"['HarperCollins', 'Jean Craighead George', 'High', 'Short']"
"['HarperCollins', 'Jean Craighead George', 'High', 'Long']"
"['Short Books, London', 'Francis Wheen', 'Low', 'Short']"
"['Arbor House Pub Co', 'Linda Lay Shuler', 'Low', 'Medium']"
"['Tor Books (Mm)', 'Judith Tarr', 'Low', 'Medium']"
"['St Martins Pr', 'George Baxt', 'Low', 'Long']"
"[""G. P. Putnam's Sons"", 'Kathy Hepinstall', 'Low', 'Long']"
"['Feltrinelli', 'Benni', 'Low', 'Medium']"
"['Wunderlich im Rowohlt', 'Hella S. Haasse', 'Low', 'Short']"
"['Beltz', 'Arnulf Zitelmann', 'Low', 'Medium']"
"['Dtv', 'Karen Cushman', 'Low', 'Long']"
"['Scholastic Paperbacks (Mm)', 'Katy Hall', 'Low', 'Medium']"
"['Kids Books Inc', 'Stefanie Scott', 'Low', 'Medium']"
"['Health Communications', 'Jack Canfield', 'Low', 'Medium']"
"['Penguin USA', 'Richard Peck', 'Low', 'Medium']"
"['Paul Dry Books', 'Peter Cashwell', 'Low', 'Medium']"
"['Alfred A. Knopf', 'Nathan Englander', 'Low', 'Medium']"
"['Warner Books', 'Erik Quisling', 'Low', 'Long']"
"['Simon &amp; Schuster', 'Mary Higgins Clark', 'High', 'Long']"
"['Avon', 'Michael Broder', 'Low', 'Medium']"
"['W. SÃ¶derstrÃ¶m', 'Jari Tervo', 'Low', 'Short']"
"['Bantam', 'Robert Ludlum', 'Medium', 'Long']"
"['Dutton Books', 'Penina Keen Spinka', 'Low', 'Long']"
"['R. Laffont', 'Jean-Dominique Bauby', 'Low', 'Long']"
"['Henry Holt &amp; Company', 'Stephen Dobyns', 'Medium', 'Long']"
"['Avon', 'Cathy Maxwell', 'Low', 'Long']"
"['Harper Mass Market Paperbacks (Mm)', 'Crosland Brown', 'Low', 'Long']"
"['Ivy Books', 'Robert Fulghum', 'Low', 'Long']"
"['St Martins Pr', 'Marion Zimmer Bradley', 'Low', 'Long']"
"['Viking Books', 'Stephen King', 'High', 'Short']"
"['Viking Books', 'Stephen King', 'High', 'Medium']"
"['Rodale Press', 'Mark Bricklin', 'Low', 'Medium']"
"['LÃ?Â¼bbe', 'Patricia Shaw', 'Low', 'Medium']"
"['Eos (HarperCollins)', 'Susan R. Matthews', 'Low', 'Long']"
"['Signet Book', 'Leonard Goldberg', 'Low', 'Long']"
"['Warner Books', 'Nicholas Sparks', 'Medium', 'Long']"
"['Time Warner Audio Major', 'Nicholas Sparks', 'Medium', 'Long']"
"['Sagebrush Bound', 'J. K. Rowling', 'High', 'Long']"
"['Scholastic Paperbacks', 'J. K. Rowling', 'High', 'Long']"
"['Scholastic Paperbacks', 'J. K. Rowling', 'High', 'Long']"
"['Andrews McMeel Publishing', 'Bill Watterson', 'Medium', 'Long']"
"['Editions du ChÃ?Âªne', 'Philip Plisson', 'Low', 'Long']"
"['Andrews McMeel Publishing', 'Cathy Guisewite', 'Low', 'Long']"
"['Berkley Publishing Group', 'Jack Higgins', 'Medium', 'Medium']"
"['Tyndale House Publishers', 'Jerry B. Jenkins', 'Low', 'Medium']"
"['Love Spell', 'Victoria Alexander', 'Low', 'Long']"
"['Jove Books', 'Kate Freiman', 'Low', 'Medium']"
"['Silhouette', 'Nora Roberts', 'Medium', 'Medium']"
"['Bantam Books', 'Teresa Medeiros', 'Low', 'Long']"
"['Bantam Books', 'Teresa Medeiros', 'Low', 'Short']"
"['Pocket', 'Lynn Erickson', 'Low', 'Short']"
"['Simon Spotlight Entertainment', 'Chip Lovitt', 'Medium', 'Medium']"
"['Tyndale Kids', 'Dottie McDowell', 'Low', 'Long']"
"['William Morrow &amp; Company', 'Sally Beauman', 'High', 'Medium']"
"['Broadview Press', 'Joseph Conrad', 'Low', 'Long']"
"['Coconut Info', 'John F. McGrady', 'Low', 'Long']"
"['Hodder and Stoughton', 'Norah Lofts', 'Medium', 'Long']"
"['Delta', 'Sophie Kinsella', 'Low', 'Short']"
"['Scholastic Paperbacks', 'Louis Sachar', 'Medium', 'Long']"
"['Plaza &amp; Janes Editores, S.A.', 'Theodore Sturgeon', 'Low', 'Long']"
"['Algonquin Books of Chapel Hill', 'Cindy Bonner', 'Low', 'Long']"
"['Meisha Merlin Pub', 'Jim Grimsley', 'Low', 'Long']"
"['Random House', 'Caleb Carr', 'High', 'Long']"
"['Orion', 'Ian Rankin', 'Medium', 'Short']"
"['Random House Uk Ltd', 'Renee', 'Low', 'Medium']"
"['HarperCollins', 'Barbara Kingsolver', 'Medium', 'Short']"
"['HarperAudio', 'Barbara Kingsolver', 'Medium', 'Long']"
"[""St. Martin's Press"", 'Augusten Burroughs', 'Medium', 'Long']"
"['Time Warner Audio Major', 'David Baldacci', 'High', 'Long']"
"['Time Warner Audio Major', 'David Baldacci', 'High', 'Long']"
"[""Writer's Showcase Press"", 'Douglas R. Robinson', 'Low', 'Long']"
"['Infinity Publishing (PA)', 'Millenia Black', 'Medium', 'Long']"
"['Herald Press (PA)', 'Anne L. Squire-Buresh', 'Low', 'Long']"
"['Virus', 'Santiago Alba Rico', 'Low', 'Short']"
"['Omega', 'Fernandez', 'Low', 'Long']"
"['Editorial Planeta, S.A. (Barcelona)', 'Terenci Moix', 'Low', 'Medium']"
"['Tor Books', 'Christopher Pike', 'Medium', 'Long']"
"['Simon Spotlight Entertainment', 'Christopher Golden', 'Low', 'Medium']"
"['Pocket Books', 'William Shatner', 'Medium', 'Long']"
"['Star Trek', 'William Shatner', 'Medium', 'Long']"
"['Franckh-Kosmos Verlag', 'Ria Fehlau', 'Low', 'Long']"
"[""St. Martin's Paperbacks"", 'Janet Evanovich', 'Low', 'Long']"
"[""St. Martin's Paperbacks"", 'Katie Fforde', 'Low', 'Medium']"
"['Greenwillow', 'Robin McKinley', 'High', 'Long']"
"['Puffin Books', 'Jon Scieszka', 'Low', 'Medium']"
"['Faber &amp; Faber', 'Philip Larkin', 'Medium', 'Medium']"
"['Simon &amp; Schuster', 'Ursula Hegi', 'Medium', 'Long']"
"['Baen', 'Mary Brown', 'Low', 'Medium']"
"['William Morrow', 'John Searles', 'Medium', 'Medium']"
"['Editorial Seix Barral', 'Eduardo Mendoza', 'Low', 'Medium']"
"['Baen', 'James P. Hogan', 'Low', 'Medium']"
"['Pocket Star', 'Max Allan Collins', 'Low', 'Long']"
"[""G. P. Putnam's Sons"", 'Nevada Barr', 'Medium', 'Medium']"
"['Recorded Books', 'Nevada Barr', 'Medium', 'Long']"
"['Dell Publishing Company', 'Vicki Lewis Thompson', 'Low', 'Long']"
"['Masthof Pr', 'Ken Munro', 'Low', 'Long']"
"['HarperEntertainment', 'Tim Burton', 'Low', 'Medium']"
"['Anchor Books/Doubleday', 'Walter Kirn', 'Low', 'Medium']"
"['Pantheon Books', 'Randall Kennedy', 'Low', 'Medium']"
"['Garrett County Press', 'Jeff Kelly', 'Low', 'Long']"
"['Tor Books', 'David Hagberg', 'Low', 'Long']"
"['Deadwood Pub Ltd', 'Gladys Taylor', 'Low', 'Long']"
"['Servant Publications', 'Louise Perrotta', 'Low', 'Long']"
"['Random House Inc', 'Martha Grimes', 'Medium', 'Long']"
"['Farrar Straus &amp; Giroux', 'Jonathan Franzen', 'High', 'Medium']"
"['St Martins Pr', 'Fred Chappell', 'Low', 'Medium']"
"['Dell', 'Elizabeth Berg', 'Medium', 'Medium']"
"['Publishamerica', 'Larry Kirk', 'Low', 'Medium']"
"['PLUTO PRESS', 'Milan Rai', 'Low', 'Long']"
"['Pub Group West', 'Will Self', 'Low', 'Long']"
"['Nelson Books', 'Raymond S. Moore', 'Low', 'Medium']"
"['Putnam Publishing Group', 'Daniel Silva', 'Low', 'Long']"
"['Del Rey Books', 'Harry Turtledove', 'Low', 'Long']"
"['Hyperion', 'Jennifer Niven', 'Low', 'Long']"
"['Ace Books', 'Daniel Hood', 'Low', 'Medium']"
"['Harlequin', 'Joanne Rock', 'Low', 'Medium']"
"['Putnam Pub Group', 'Robin Cook', 'Medium', 'Long']"
"['Onyx Books', 'Richard Parrish', 'Low', 'Long']"
"['HarperCollins Publishers', 'Francine Prose', 'Medium', 'Long']"
"['Bantam', 'Rex Stout', 'Low', 'Long']"
"['Chronicle Books', 'Cameron Tuttle', 'Low', 'Short']"
"['Scribner', 'Kathy Reichs', 'Medium', 'Long']"
"['Putnam Publishing Group', 'Robert B. Parker', 'Low', 'Long']"
"['Replica Books', 'James Patterson', 'High', 'Medium']"
"['Time Warner Audio Major', 'James Patterson', 'High', 'Long']"
"['Time Warner Audio Major', 'James Patterson', 'High', 'Medium']"
"['Putnam Publishing Group', 'Lee Child', 'High', 'Medium']"
"['Harlequin', 'Sarah Mlynowski', 'Medium', 'Long']"
"['Regan Books', 'Michael Bergin', 'Low', 'Long']"
"['STRAPLESS', 'Linda Lenhoff', 'Low', 'Medium']"
"['Btb Bei Goldmann', 'Peter K. Wehrli', 'Low', 'Long']"
"['Harpercollins Uk', 'Christopher Wallace', 'Low', 'Long']"
"['Cisco Press', 'Wendell Odom', 'Low', 'Medium']"
"['Fischer (Tb.), Frankfurt', 'Ricarda Junge', 'Low', 'Long']"
"['Sirio', 'Adam J. Jackson', 'Low', 'Long']"
"['Key Porter Books', 'Lola Lemire Tostevin', 'Low', 'Long']"
"['Silhouette', 'Kathleen Eagle', 'Low', 'Long']"
"['University of Arizona Press', 'Charles M. Tatum', 'Low', 'Long']"
"['Planeta Pub Corp', 'Donna Leon', 'Low', 'Medium']"
"['Piper', 'Holly-Jane Rahlens', 'Low', 'Long']"
"[""St. Martin's Minotaur"", 'Dan Simmons', 'Medium', 'Long']"
"['Bantam Dell Pub Group', 'Vikram Seth', 'Medium', 'Long']"
"['Ivy Books', 'Gaelen Foley', 'Medium', 'Short']"
"['Random House', 'Louisa May Alcott', 'Low', 'Long']"
"['Simon &amp; Schuster', 'Jackie Collins', 'Medium', 'Long']"
"['Ocean Tree Books', 'Peace Pilgrim', 'Low', 'Long']"
"['Atria', 'Thomas Scoville', 'Low', 'Long']"
"['Scholastic Paperbacks (Mm)', 'Nancy Alberts', 'Low', 'Medium']"
"['Stuart, Tabori and Chang', 'Sandra Magsamen', 'Low', 'Long']"
"['Tor Books', 'Morgan Llywelyn', 'Low', 'Short']"
"['Tor Books', 'Morgan Llywelyn', 'Low', 'Short']"
"['Judy Piatkus Publishers Ltd', 'Douglas Lindsay', 'Low', 'Short']"
"['Rowohlt Tb.', 'Till Raether', 'Low', 'Medium']"
"['Suhrkamp', 'Max Frisch', 'High', 'Medium']"
"['Reclam, Leipzig', 'Michael Wallner', 'Low', 'Medium']"
"['Charles T. Banford Company', 'Jan Fries', 'Low', 'Medium']"
"['Llewellyn Publications', 'Osborne Phillips', 'Low', 'Medium']"
