ISBN,Publisher,Book_Title,Book_Author,First_Publish_Year,Edition_Count,Book_Age,Edition_Count_Category,Total_Reviews,No_of_Pages,Book_Length_Category,Popularity_Score,Book_Price,Bestseller
1570429669,Time Warner Audio Major,The Rescue,Nicholas Sparks,2000,13,25,Medium,378,764,Long,232.0,56.2,1
0151001006,Harcourt,Snow Falling on Cedars,David Guterson,1994,41,31,High,140,111,Short,100.4,25.55,1
0743228774,Simon &amp; Schuster,Daddy's Little Girl,Mary Higgins Clark,2002,14,22,Medium,27,418,Medium,21.8,20.9,0
0743520564,Simon &amp; Schuster Audio,Daddy's Little Girl,Mary Higgins Clark,2002,18,23,Medium,67,346,Medium,47.4,27.3,0
0743520548,Simon &amp; Schuster Audio,Daddy's Little Girl,Mary Higgins Clark,2002,16,23,Medium,410,399,Medium,252.4,29.950000000000003,1
0743520572,Simon &amp; Schuster Audio,Daddy's Little Girl,Mary Higgins Clark,2002,16,23,Medium,243,839,Long,152.2,47.95,1
0743406176,Atria,If Only It Were True,Marc Levy,2000,6,25,Medium,344,142,Short,208.8,23.1,1
0609606727,Harmony,Julie and Romeo,Jeanne Ray,2000,18,25,Medium,776,463,Medium,472.8,39.150000000000006,1
0446531332,Warner Books,Nights in Rodanthe,Nicholas Sparks,2002,13,23,Medium,530,526,Long,323.2,46.3,1
0316969443,"Little, Brown",Suzanne's Diary for Nicholas,James Patterson,2001,34,24,High,870,914,Long,535.6,65.7,1
0525944834,Dutton Books,Liar's Game,Eric Jerome Dickey,2000,4,27,Low,23,186,Short,15.4,9.3,0
0394551427,Random House Inc,Shoah,Claude Lanzmann,1985,9,40,Medium,112,498,Medium,70.8,40.900000000000006,1
0007100221,Trafalgar Square,TERROR FIRMA,Matthew Thomas,2001,3,24,Low,693,892,Long,417.0,58.6,1
185479549X,Michael O'Mara Books,The World's Stupidest Laws,David Crombie,2000,2,25,Low,184,903,Long,111.2,61.150000000000006,1
156341029X,Firebrand Books,Stone Butch Blues,Leslie Feinberg,1993,38,32,High,288,814,Long,188.0,56.7,1
1886383421,Windstorm Creative,Fires of Aggar,Chris Anne Wolfe,2001,1,24,Low,72,150,Short,43.6,15.5,1
1888451084,Akashic Books,Kamikaze Lust,Lauren Sanders,2000,2,25,Low,616,882,Long,370.4,58.1,1
1563411148,Firebrand Books,The Second Coming of Curly Red,Jody Seay,1999,2,26,Low,144,423,Medium,87.19999999999999,33.150000000000006,1
1563411156,Firebrand Books,The Second Coming of Curly Red,Jody Seay,1999,2,26,Low,31,841,Long,19.4,42.05,0
0446300101,Warner Books,"The Beans of Egypt, Maine",Carolyn Chute,1986,3,39,Low,408,240,Medium,246.0,28.0,1
0060006048,Avon,Circle of Three #12: Written in the Stars (Circle of Three),Isobel Bird,2001,19,24,Medium,300,886,Long,187.6,54.3,1
0374386676,Farrar Straus Giroux,The Year They Burned the Books,Nancy Garden,1999,2,26,Low,576,901,Long,346.4,61.05,1
038529929X,Del Sol Press,Hannibal,Thomas Harris,1999,48,26,High,366,433,Medium,238.8,33.650000000000006,1
B00009EF82,Delacorte Press,Hannibal,Thomas Harris,1999,48,26,High,130,992,Long,97.2,69.6,1
842533411X,"Editorial Grijalbo, S.A. de C.V.",Hannibal,Thomas Harris,1999,48,26,High,192,663,Long,134.39999999999998,49.15,1
0553456636,Random House Audio Publishing Group,Hannibal,Thomas Harris,1999,48,26,High,416,593,Long,268.8,45.650000000000006,1
0553526774,Random House Audio Publishing Group,Hannibal,Thomas Harris,1999,48,26,High,190,638,Long,133.2,41.900000000000006,1
074343627X,Pocket,Dreamcatcher,Stephen King,2001,54,26,High,149,806,Long,111.0,56.3,1
B0000E63CJ,Scribner,Dreamcatcher,Stephen King,2001,55,24,High,287,255,Medium,194.2,26.75,1
1884777805,Manning Publications,Elements of Programming With Perl,Andrew L. Johnson,1999,1,26,Low,760,243,Medium,456.4,28.15,1
0670844594,Penguin USA,Rumpole on Trial,John Mortimer,1992,2,35,Low,295,235,Medium,177.8,27.75,1
039457513X,Random House,Billy Bathgate,E. L. Doctorow,1989,24,36,High,356,555,Long,223.2,37.75,1
0439221676,Scholastic,"All That Glitters (Avalon, 2)",Rachel Roberts,2001,6,24,Medium,204,769,Long,124.8,46.45,1
0399146407,Putnam Publishing Group,The Bear and the Dragon,Tom Clancy,2000,25,25,High,397,182,Short,248.2,29.1,1
1558505377,Adams Media Corp,Jacob Marley's Christmas Carol,Tom Mula,1995,3,30,Low,477,449,Medium,287.4,40.45,1
0425166619,Berkley Publishing Group,Toxin,Robin Cook,1999,5,26,Low,40,399,Medium,26.0,19.950000000000003,0
0425167097,Berkley Pub Group,Toxin,Robin Cook,1999,5,26,Low,568,450,Medium,342.8,38.5,1
0741409690,Infinity Publishing.com,The Burberry Style,Jonathan Pearce,2002,1,23,Low,710,138,Short,426.4,26.9,1
0741407213,Infinity Publishing.com,Heavier Than Air (Balona Books),Jonathan Pearce,2001,1,24,Low,100,258,Medium,60.4,32.9,1
0741402858,Buy Books on the web.com,The Balona Klongs,Jonathan Pearce,1999,1,24,Low,253,713,Long,152.2,51.65,1
1585007366,1stBooks Library,Sang Froyd (Balona Books),Jonathan Pearce,1999,1,26,Low,710,411,Medium,426.4,40.55,1
074141127X,Infinity Publishing (PA),The Chocolate Korndog,Jonathan Pearce,2002,1,23,Low,860,340,Medium,516.4,37.0,1
0741403471,Infinity Publishing (PA),One Brick Shy,Jonathan Pearce,2000,1,25,Low,120,544,Long,72.4,47.2,1
0741403056,Infinity Publishing (PA),Focusing the Private Eye,Jonathan Pearce,2000,1,25,Low,790,397,Medium,474.4,39.85,1
0741405784,Infinity Publishing (PA),A Cuisine of Leftovers,Jonathan Pearce,2000,1,25,Low,648,135,Short,389.2,22.75,1
0945397410,Epicenter Press,Outhouses of Alaska,Harry M. Walker,1996,1,29,Low,360,183,Short,216.4,29.15,1
0593045254,Bantam Press,The Smoke Jumper,Nicholas Evans,2001,23,24,High,426,985,Long,264.8,61.25,1
0975311255,AuthorsOmniscient Publishers,A Temporary New Wife,Malcolm Goodway,2004,1,21,Low,460,874,Long,276.4,63.7,1
3499134446,Rowohlt Tb.,Tollivers Reisen. Stadtgeschichten IV.,Armistead Maupin,1995,2,30,Low,776,658,Long,466.4,48.9,1
0316693707,Little Brown and Company,Kiss the Girls,James Patterson,1995,36,30,High,568,240,Medium,355.2,28.0,1
3426871874,"Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co.",Entdecke den Schamanen in dir. Reise in die innere Welt des Alltags.,Christopher Weidner,2003,1,24,Low,49,208,Medium,29.8,10.4,0
0787123730,Dove Books,Mother of Pearl,Melinda Haynes,1999,7,26,Medium,272,109,Short,166.0,13.45,1
0671500546,Star Trek,The Vulcan Academy Murders,Jean Lorrah,1984,13,41,Medium,77,477,Medium,51.4,37.85,1
0441435351,Ace Books,Kent Montana and the Really Ugly Thing from Mars,Lionel Fenn,1990,1,34,Low,3,717,Long,1.7999999999999998,35.85,0
0551032510,Zondervan,Colours of Survival,Adrian Plass,2000,1,25,Low,90,683,Long,54.4,52.15,1
0876855575,Ecco,Ham on Rye,Charles Bukowski,1982,11,43,Medium,252,251,Medium,155.6,30.55,1
3407805853,Beltz,Das Leben der Thiere,Janosch,1991,1,34,Low,620,148,Short,372.4,27.4,1
0385314744,Delacorte Press,Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,1996,1,28,Low,384,285,Medium,230.8,28.25,1
044022330X,Island,Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Al Franken,1996,3,29,Low,594,958,Long,357.6,59.900000000000006,1
0894803700,Workman Publishing,"14,000 Things to Be Happy About",Barbara Ann Kipfer,1990,5,36,Low,414,662,Long,250.4,43.1,1
0345331605,Ballantine Books,Dragonsdawn,Anne McCaffrey,1988,31,37,High,578,717,Long,359.2,49.85,1
051513399X,Jove Books,Smoke in Mirrors,Jayne Ann Krentz,2002,5,21,Low,1,128,Short,2.6,6.4,0
0515132632,Jove Books,Isle of Lies,Donna Fletcher,2002,1,23,Low,760,538,Long,456.4,42.900000000000006,1
1558506454,Adams Media Corp,Museum of Science Book of Answers &amp; Questions,Ann Rae Jonas,1996,1,29,Low,656,786,Long,394.0,55.3,1
0802069347,University of Toronto Press,Gibson's Student Guide to Western Canadian Universities,Dyanne Gibson,1993,2,32,Low,476,660,Long,286.4,47.0,1
0915811332,H.J. Kramer,Sacred Journey of the Peaceful Warrior,Dan Millman,1991,2,33,Low,662,567,Long,398.0,44.35,1
0385324057,Delacorte Press,Summer Sisters,Judy Blume,1998,36,27,High,267,207,Medium,174.6,16.35,1
0679450548,Random House Inc,I Was Amelia Earhart,Jane Mendelsohn,1996,5,29,Low,476,730,Long,287.6,50.5,1
0231105592,Columbia University Press,The  Garden of Ediacara,Mark A. S. McMenamin,2000,1,25,Low,180,760,Long,108.4,46.0,1
0553585118,Bantam Books,Once a Thief,Kay Hooper,2002,4,23,Low,211,951,Long,128.2,53.55,1
2070426815,Gallimard,L'oeil de la sibylle,Dick,2003,3,23,Low,418,289,Medium,252.0,28.450000000000003,1
0425169324,Berkley Publishing Group,Sworn to Defend,Carolyn Wheat,1999,2,26,Low,637,176,Short,383.0,22.8,1
0345396529,Ballantine Books,First King of Shannara,Terry Brooks,1996,10,29,Medium,660,353,Medium,400.0,37.650000000000006,1
0805051732,Henry Holt &amp; Company,"The Word \""Desire\""",Rikki Ducornet,1997,2,28,Low,882,869,Long,529.9999999999999,61.45,1
0836218256,Andrews McMeel Publishing,Something Under the Bed Is Drooling,Bill Watterson,1988,6,37,Medium,280,362,Medium,170.4,32.1,1
0689109865,Scribner,The BOOK OF BEBB,Frederick Buechner,1979,7,46,Medium,80,757,Long,50.8,47.85,1
0773762078,Stoddart Kids,Maiden of the Mist: A Legend of Niagara Falls,Veronika Martenova Charles,2001,1,24,Low,125,934,Long,75.4,56.7,1
0553502417,Random House Audio Publishing Group,The Brethren,John Grisham,2000,51,25,High,513,852,Long,328.2,60.6,1
0330357808,Picador,Marilyn's almost terminal New York adventure,Justine Ettler,1996,1,29,Low,126,558,Long,76.0,39.900000000000006,1
1573221775,Riverhead Books,My Dream of You,Nuala O'Faolain,2001,5,24,Low,156,379,Medium,95.6,22.95,1
3596113350,"Fischer (Tb.), Frankfurt",Die Mambo Kings spielen Songs der Liebe. Roman.,Oscar Hijuelos,1992,1,33,Low,456,317,Medium,273.99999999999994,31.85,1
0782125557,Sybex Inc,Mastering Linux Premium Edition,Arman Danesh,1999,1,26,Low,203,387,Medium,122.2,33.35,1
1555217532,Book Sales,The Complete Hot &amp; Spicy Cookbook,Emma Callery,1991,2,34,Low,231,266,Medium,139.4,27.3,1
8420444782,"Alfaguara Ediciones, S.A. (Spain)",Un Milagro Informal,Fernando Iwasaki Cauti,2003,1,22,Low,336,840,Long,202.0,50.0,1
8489618844,Ediciones Lengua de Trapo,Sangre a Borbotones (Coleccion Nueva Biblioteca),Rafael Reig,2002,1,23,Low,486,452,Medium,291.99999999999994,34.6,1
006017935X,Harpercollins,Hill Towns,Anne Rivers Siddons,1993,6,32,Medium,315,775,Long,191.4,52.75,1
0374177023,"Farrar, Straus and Giroux",Instances of the Number 3,Salley Vickers,2002,8,23,Medium,686,747,Long,414.8,51.35,1
1565117212,Highbridge Audio,Summerland,Michael Chabon,2002,27,25,High,213,977,Long,138.6,64.85,1
1566091446,Peachpit Press,Photoshop 3 for Macintosh (Visual Quickstart Guide),Elaine Weinmann,1995,1,30,Low,455,169,Short,273.4,18.450000000000003,1
0671698419,Baen,BORDERS OF INFINITY,Lois McMaster Bujold,1989,15,36,Medium,707,484,Medium,430.2,44.2,1
006105660X,Harpercollins,"Washington's Dirigible (Timeline Wars/John Barnes, No 2)",John Barnes,1997,5,28,Low,630,807,Long,380.0,60.35,1
0881845906,Pub Group West,The Mammoth Book of Ghost Stories,Richard Dalby,1990,1,35,Low,350,927,Long,210.4,56.35,1
0515095826,Jove Books,The Cat Who Knew Shakespeare,Lilian Jackson Braun,1988,2,37,Low,609,487,Medium,366.2,40.35,1
0060187271,HarperCollins Publishers,The Last Report on the Miracles at Little No Horse,Louise Erdrich,2001,17,24,Medium,290,329,Medium,180.8,36.45,1
044667883X,Warner Books,Last Man Standing,David Baldacci,2001,53,24,High,130,911,Long,99.2,55.55,1
0312868308,Tor Books,Flesh and Gold,Phyllis Gotlieb,1999,1,27,Low,259,463,Medium,155.8,33.150000000000006,1
8466307982,Santillana USA Publishing Company,La joven de la perla,Tracy Chevalier,2002,1,25,Low,585,363,Medium,351.0,32.150000000000006,1
0373301537,Harlequin Enterprises Limited,Painted Sunsets (Western Lovers Ranch Rogues),Rebecca Flanders,1987,1,38,Low,234,826,Long,140.8,53.3,1
1551669404,Mira,Just Over The Mountain,Robyn Carr,2002,12,23,Medium,282,271,Medium,174.0,25.55,1
0553255142,Bantam Books,Man from the Broken Hills,Louis L'Amour,1975,9,50,Medium,420,869,Long,255.6,57.45,1
0385490461,Nan A. Talese,Seraglio,Janet Wallach,2003,6,22,Medium,504,713,Long,304.79999999999995,51.65,1
0399139125,Putnam Pub Group,River of Hidden Dreams,Connie May Fowler,1994,4,31,Low,144,902,Long,87.99999999999999,53.1,1
0778800229,Robert Rose,America's Best Slow Cooker Recipes,Donna-Marie Pye,2000,2,26,Low,185,437,Medium,111.8,31.85,1
0312852487,Tor Books,"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,1991,37,34,High,300,570,Long,194.8,48.5,1
0812511816,Tor Fantasy,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,69,35,High,351,897,Long,238.2,62.85,1
3442424623,Goldmann,Die Bildhauerin.,Minette Walters,1996,2,29,Low,584,363,Medium,351.2,34.150000000000006,1
0892882816,Maverick Publications,"Homestead, A Memoir",Jane Kirkpatrick,2000,1,25,Low,390,761,Long,234.4,48.05,1
0786864133,Hyperion,Napalm &amp; Silly Putty,George Carlin,2001,7,24,Medium,560,911,Long,338.8,61.55,1
0380810336,Avon,Feeling Good : The New Mood Therapy,David D. Burns,1999,1,26,Low,440,944,Long,264.4,67.2,1
0380731762,Perennial Currents,Feeling Good : The New Mood Therapy,David D. Burns,1999,1,26,Low,365,576,Long,219.4,38.8,1
1563521024,Longstreet Press,You're Not a Kid Anymore When...,Jeff Foxworthy,1993,1,32,Low,130,402,Medium,78.4,30.1,1
0394830148,Random House Children's Books,The Berenstain Bears and Too Much Vacation (First Time Books),Stan Berenstain,1989,1,36,Low,135,545,Long,81.4,45.25,1
0394930142,Random House Childrens Books,The Berenstain Bears and Too Much Vacation (First Time Books),Stan Berenstain,1989,1,38,Low,373,800,Long,223.8,56.0,1
0345298365,Del Rey Books,Six of Swords,Carole Nelson Douglas,1982,3,43,Low,576,499,Medium,346.79999999999995,40.95,1
8570070063,NÃ³rdica,A corrente de Trewis Scott,Roberto Schneider,1985,1,40,Low,369,614,Long,221.8,48.7,1
0684836491,Simon &amp; Schuster,Apocalypse Wow,James Finn Garner,1997,5,30,Low,236,671,Long,143.6,43.55,1
0399147357,G. P. Putnam's Sons,Dead Sleep,Greg Iles,2001,13,24,Medium,532,336,Medium,324.4,30.8,1
0740704532,Andrews McMeel Publishing,Random Acts Of Management:A Dilbert Book,Scott Adams,2000,1,25,Low,216,378,Medium,130.0,34.900000000000006,1
0316154067,"Little, Brown",Void Moon,Michael Connelly,1999,8,26,Medium,603,203,Medium,365.0,28.15,1
0446516538,Warner Books,Slow Waltz in Cedar Bend,Robert James Waller,1993,10,32,Medium,380,729,Long,232.0,46.45,1
0679457976,Random House Audio,Airframe,Michael Crichton,1996,73,29,High,264,971,Long,187.6,64.55000000000001,1
0878670319,Ramparts Press,The gay liberation book,Len Richmond,1973,1,52,Low,369,347,Medium,221.8,35.35,1
0393011224,W. W. Norton &amp; Company,The Age of Sensation,Herbert Hendin,1975,3,50,Low,504,463,Medium,303.6,41.150000000000006,1
0743400720,Atria,The Camino,Shirley MacLaine,2000,7,25,Medium,950,420,Medium,572.8,41.0,1
0671777351,Pocket,Letters from Cicely,Ellis Weiner,1992,2,33,Low,320,732,Long,192.8,56.6,1
0060256664,HarperCollins,The Giving Tree,Shel Silverstein,1964,20,61,Medium,750,385,Medium,458.0,39.25,1
068483376X,Fireside,Succulent Wild Woman,Sark,1997,3,28,Low,42,842,Long,26.4,44.1,1
0385424736,Doubleday Books,The Rainmaker,John Grisham,1995,67,28,High,139,854,Long,110.2,60.7,1
0345421825,Del Rey Books,The First Immortal,James L. Halperin,1998,1,26,Low,540,910,Long,324.4,65.5,1
0380752123,Harper Mass Market Paperbacks,Each Time We Love,Shirlee Busbee,1993,2,32,Low,350,599,Long,210.8,49.95,1
0380896931,Avon,Tender Is the Storm,Johanna Lindsey,1985,5,40,Low,531,837,Long,320.6,59.85,1
0971942315,Pond Publishing,The Greatest Discovery,Chris Sorensen,2003,1,22,Low,272,608,Long,163.6,46.400000000000006,1
3455059554,Hoffmann &amp; Campe,Der Fisch lernt fliegen. Unterwegs durch die Jahre.,Erika Pluhar,2000,2,25,Low,132,753,Long,80.0,45.65,1
8478886818,Distribooks,"Mi Gato Angus, El Primer Morreo Y El Pasta",Louise Rennison,2002,1,23,Low,176,903,Long,106.0,61.150000000000006,1
8477021473,Valdemar,Pozo y El Pendulo y Otras Historias Espeluzna,Edgar Allan Poe,1998,1,29,Low,518,547,Long,311.2,43.35,1
8440682441,Ediciones B,El Circulo Magico,Katherine Neville,1998,4,28,Low,87,792,Long,53.8,51.6,0
0142003409,Penguin Books,The Disappearance of Sherlock Holmes,Larry Millett,2003,2,22,Low,540,677,Long,324.8,53.85,1
0553565915,Bantam Books,Embraced by the Light,Betty J. Eadie,1994,4,31,Low,232,460,Medium,140.79999999999998,39.0,1
0345260627,Ballantine Books,Splinter of the Mind's Eye,Alan Dean Foster,1978,13,49,Medium,290,843,Long,179.2,62.150000000000006,1
0394707745,Alfred A. Knopf,Hungry Hikers Book of Good Cooking,Gretchen McHugh,1982,1,43,Low,184,548,Long,110.8,43.400000000000006,1
042516540X,Berkley Publishing Group,The Cat Who... Companion,Sharon A. Feaster,1998,4,27,Low,680,942,Long,409.6,63.1,1
1551666766,Mira Books,Naughty Marietta,Nan Ryan,2003,2,24,Low,762,551,Long,458.0,43.55,1
0843952059,Leisure Books,The Very Virile Viking,Sandra Hill,2003,2,22,Low,540,410,Medium,324.8,38.5,1
0553583905,Bantam Books,Kingdom Of Moonlight,Josie Litton,2002,3,23,Low,71,242,Medium,43.8,14.1,1
0440236401,Dell Publishing Company,The Temptress (The Bride Quest),Claire Delacroix,2001,1,24,Low,248,441,Medium,149.2,38.05,1
0399143335,Putnam Pub Group,The Cat Who Sang for the Birds,Lilian Jackson Braun,1998,5,27,Low,464,589,Long,280.4,45.45,1
0743262174,Scribner,"Cry, the Beloved Country (Oprah's Book Club)",Alan Paton,2003,1,22,Low,408,338,Medium,245.2,32.900000000000006,1
325723273X,Diogenes Verlag,Richtig leben mit Geri Weibel.,Martin Suter,2001,1,24,Low,553,660,Long,332.2,47.0,1
0671721046,Baen,The Deed of Paksenarrion,Elizabeth Moon,1992,1,35,Low,655,743,Long,393.4,57.15,1
0915035170,Dawnsign Press,Deaf Culture Our Way,Holcomb,1995,1,30,Low,621,693,Long,373.0,52.65,1
0451455789,Roc,No One Noticed the Cat,Anne McCaffrey,1996,9,29,Medium,558,902,Long,338.40000000000003,63.1,1
0380815931,Perennial,In the Beginning...was the Command Line,Neal Stephenson,1999,10,26,Medium,770,769,Long,466.0,58.45,1
0886777844,Daw Books,Summon the Keeper,Tanya Huff,1998,1,27,Low,504,233,Medium,302.79999999999995,29.65,1
189251415X,Guernica Editions,The Bearded Lady,Sharlee Dieguez,1999,1,26,Low,200,625,Long,120.4,47.25,1
1401068049,Xlibris Corporation,Revelation and the Fall of Judea,Maurice A. Williams,2002,1,23,Low,110,172,Short,66.4,18.6,1
0684874350,Scribner,ANGELA'S ASHES,Frank McCourt,1996,35,29,High,390,498,Medium,248.0,44.900000000000006,1
0671002384,Star Trek,Ancient Blood:  Day of Honor #1 (Star Trek The Next Generation),Diane Carey,1997,2,28,Low,234,774,Long,141.20000000000002,56.7,1
0380400480,Avon,A Pirate's Love,Johanna Lindsey,1978,10,47,Medium,18,261,Medium,14.8,13.05,0
0821770594,Zebra Books,My Lady Pirate,Elizabeth Doyle,2001,8,24,Medium,710,867,Long,429.2,63.35,1
0440206707,Dell Publishing Company,Viking's Woman,Heather Graham,1990,6,35,Medium,224,365,Medium,136.8,32.25,1
