ISBN,Book_Title,Book_Author,Year-Of-Publication,Edition_Count,Book_Age,Edition_Count_Category,Total_Reviews,No_of_Pages,Book_Length_Category,Popularity_Score,Book_Price,Bestseller
8420646717,El Diablo De LA Botella/the Bottled Imp,Robert Louis Stevenson,1996,1,31,Low,0,924,Long,-12.0,46.2,No
6366642491,Soft Focus,P. J. Tracy,2005,27,20,High,36,547,Long,32.4,31.35,Yes
0451451465,The Catswold Portal,Shirley Rousseau Murphy,1992,6,33,Medium,0,555,Long,2.4000000000000004,27.75,No
074141127X,The Chocolate Korndog,Jonathan Pearce,2002,1,23,Low,860,340,Medium,516.4,37.0,Yes
2253005274,Le Grand Meaulnes (Classiques De Poche),Alain-Fournier,2000,1,25,Low,0,553,Long,0.4,27.65,No
4471403200,Plainsong,Peter Clover,2018,45,7,High,0,205,Medium,18.0,10.25,No
1796087066,The Unsung Hero,Stephen King,2017,23,8,High,308,731,Long,194.0,44.55,Yes
0531057291,Just As Long As We're Together,Judy Blume,1987,29,38,High,440,657,Long,275.6,48.85,Yes
0849943663,The Pearl (Women of Faith Fiction),Angela Elwell Hunt,2003,1,22,Low,0,308,Medium,0.4,15.4,No
8014579687,The Rescue,Tami Hoag,1967,23,58,High,47,669,Long,37.4,35.45,Yes
0451205294,Fatal Care,Leonard Goldberg,2001,2,24,Low,462,728,Long,278.0,50.4,Yes
0312283423,Saucer,Stephen Coonts,2002,18,23,Medium,0,738,Long,7.2,36.9,No
0836218353,Yukon Ho!,Bill Watterson,1989,6,35,Medium,280,884,Long,170.4,64.2,Yes
0345315723,Dragonsbane,Barbara Hambly,1986,5,39,Low,256,164,Short,155.6,24.200000000000003,Yes
0449906515,Dave Barry's Only Travel Guide You'll Ever Need,Dave Barry,1991,3,34,Low,15,657,Long,10.2,32.85,No
7869602013,Miracle at Midway,James L. Halperin,1904,14,121,Medium,776,764,Long,471.2,54.2,Yes
1826913938,Discourse on Free Will (Milestones of Thought in the History of Ideas),Joan Didion,1979,5,46,Low,752,530,Long,453.2,42.5,Yes
0446520284,Privileged Conversation,Evan Hunter,1996,7,29,Medium,0,386,Medium,2.8000000000000003,19.3,No
3516938899,Crossing Over,Monica Wood,2022,37,3,High,72,986,Long,58.0,61.3,Yes
3603314272,Final Target,Mercedes Lackey,1936,40,88,High,150,912,Long,106.0,63.6,Yes
0441694543,Quozl,Alan Dean Foster,1989,4,36,Low,0,507,Long,1.6,25.35,No
075281432X,Dust to Dust,Tami Hoag,2000,13,25,Medium,0,481,Medium,5.2,24.05,No
0312042779,Catering to Nobody,Diane Mott Davidson,1990,8,35,Medium,602,648,Long,364.4,46.4,Yes
1551113074,Heart of Darkness (Broadview Literary Texts),Joseph Conrad,1999,2,26,Low,65,814,Long,39.8,50.7,Yes
4014762166,Pequenos Altares,Melissa Bank,1930,6,93,Medium,874,592,Long,526.8,47.6,Yes
0060168013,Pigs in Heaven,Barbara Kingsolver,1993,13,32,Medium,88,451,Medium,58.0,38.55,Yes
0787123552,Family Honor,Robert B. Parker,1999,5,25,Low,0,339,Medium,-23.2,16.95,No
0743526368,The Crush,Sandra Brown,2002,26,23,High,0,619,Long,10.4,30.950000000000003,No
0399138404,Without Remorse,Tom Clancy,1993,35,32,High,0,342,Medium,14.0,17.1,No
0440295734,The Testament,John Grisham,1999,62,26,High,588,474,Medium,377.6,37.7,Yes
0451155076,Coma,Robin Cook,1977,16,48,Medium,0,745,Long,6.4,37.25,No
1479661718,A Long Fatal Love Chase,Tom Clancy,1942,25,84,High,487,239,Medium,302.2,27.950000000000003,Yes
0816513333,New Chicana/Chicano Writing 2,Charles M. Tatum,1992,4,35,Low,31,529,Long,20.2,26.450000000000003,No
0671876937,Master of Many Treasures,Mary Brown,1995,1,29,Low,22,226,Medium,13.2,11.3,No
0804119953,The Ways of Grace,Linda Francis Lee,2002,1,23,Low,0,505,Long,0.4,25.25,No
3548252443,Chocolat. Das Buch zum Film.,Joanne Harris,2001,2,24,Low,588,297,Medium,353.6,28.85,Yes
7808498080,An Equal Music,Stephen King,1984,13,41,Medium,88,519,Long,58.0,29.950000000000003,Yes
0739433598,Adventures of a Scottish Heiress,Cathy Maxwell,2003,4,22,Low,0,504,Long,1.6,25.200000000000003,No
0553081314,Doomsday Book,Connie Willis,1992,10,35,Medium,639,786,Long,387.4,59.3,Yes
0884042871,"Death Quest (Mission Earth Series, Vol 6)",L. Ron Hubbard,1987,1,38,Low,520,830,Long,312.4,57.5,Yes
4070841457,A Knight in Shining Armor,John Grisham,1951,2,74,Low,0,729,Long,0.8,36.45,No
1586480499,War Is a Force That Gives Us Meaning,Chris Hedges,2002,8,23,Medium,420,973,Long,255.2,58.650000000000006,Yes
0743435583,Miles Errant,Lois McMaster Bujold,2002,2,23,Low,380,613,Long,228.8,50.650000000000006,Yes
0688162827,Tell Me Your Dreams,Sidney Sheldon,1998,3,27,Low,549,367,Medium,330.6,36.35,Yes
3547660605,Rush Limbaugh Is a Big Fat Idiot: And Other Observations,Louisa May Alcott,1922,42,103,High,833,271,Medium,516.5999999999999,29.55,Yes
0795151314,Dancing in Light,Claire Foshee,2002,1,23,Low,234,349,Medium,140.8,29.45,Yes
0553202308,Last Mafioso,Ovid Demaris,1981,1,44,Low,637,758,Long,382.6,51.9,Yes
0671878662,Fiddler Fair,Mercedes Lackey,1998,2,27,Low,950,453,Medium,570.8,42.650000000000006,Yes
0671701304,"GULLIVERS FUGITIVES STAR TREK NEXT GENERATION #11 (Star Trek : the Next Generation, No 11)",Keith Sharee,1990,10,33,Medium,750,763,Long,454.0,56.15,Yes
0399149422,The Cat Who Brought Down the House,Lilian Jackson Braun,2003,4,22,Low,0,683,Long,1.6,34.15,No
7947145289,Grave Secrets (Temperance Brennan Novel (Hardcover)),Miranda Lundy,1934,47,89,High,119,973,Long,90.2,60.650000000000006,Yes
0385333919,Be Cool,Elmore Leonard,1999,27,26,High,90,125,Short,64.8,24.25,Yes
042515517X,Year of the Tiger,Jack Higgins,1996,7,31,Medium,18,453,Medium,13.6,22.65,No
1786612161,My Only Story,E. B. White,1926,13,99,Medium,104,746,Long,67.6,41.3,Yes
0670835382,Four Past Midnight,Stephen King,1990,64,35,High,408,951,Long,270.4,63.55,Yes
1570429685,Wish You Well,David Baldacci,2000,47,25,High,192,843,Long,134.0,58.150000000000006,Yes
0515114693,Born in Fire,Nora Roberts,1994,36,31,High,432,631,Long,273.6,49.55,Yes
7191521566,Wild Enough For Willa (Mira),Stuart Woods,1972,29,53,High,166,237,Medium,111.2,15.85,Yes
4684414324,A Killing Gift,Thomas Harris,2002,8,23,Medium,0,812,Long,3.2,40.6,No
039914563X,The Bear and the Dragon,Tom Clancy,2000,23,25,High,0,743,Long,9.2,37.15,No
5699663796,Young Wives,Charles R. Swindoll,2010,44,15,High,162,765,Long,114.8,42.25,Yes
0898655293,Myth-Nomers and Im-Pervections,Robert Asprin,1987,4,38,Low,0,947,Long,1.6,47.35,No
1570429707,Wish You Well,David Baldacci,2000,47,25,High,0,980,Long,18.8,49.0,No
0385334036,The Smoke Jumper,Nicholas Evans,2001,23,24,High,0,551,Long,9.2,27.55,No
0807106577,A Confederacy of Dunces,John Kennedy Toole,1980,69,45,High,0,293,Medium,27.6,14.65,Yes
0399146741,Summer of Storms,Judith Kelman,2001,3,24,Low,200,958,Long,121.2,67.9,Yes
0399144412,The Reef,Nora Roberts,1998,31,27,High,0,936,Long,12.4,46.8,No
1589820681,The Presents of Angels,Warren J. Ludlow,2002,1,25,Low,0,852,Long,-14.2,42.6,No
1587886936,Three Fates,Nora Roberts,2002,22,23,High,0,719,Long,8.8,35.95,No
3017853485,Modern Man in Search of a Soul (Harvest Book),Herman Wouk,1960,48,65,High,85,419,Medium,70.2,22.950000000000003,Yes
0672320967,XML Internationalization and Localization,Yves Savourel,2001,1,24,Low,0,646,Long,0.4,32.300000000000004,No
074343627X,Dreamcatcher,Stephen King,2001,54,26,High,149,806,Long,111.0,56.3,Yes
0312155859,Mary Queen of Scotland &amp; The Isles : A Novel,Margaret George,1997,1,28,Low,0,321,Medium,0.4,16.05,No
0373262736,"Fowl Play (Wwl Mystery , No 273)",Patricia Tichenor Westfall,1998,1,27,Low,0,991,Long,0.4,49.55,No
0373250592,The Thin Pink Line (Red Dress Ink),Lauren Baratz-Logsted,2004,1,21,Low,0,903,Long,0.4,45.150000000000006,No
7937414481,Kent Montana and the Really Ugly Thing from Mars,Kent Haruf,1953,34,72,High,190,209,Medium,127.6,14.45,Yes
0688025935,The Hero and the Crown,Robin McKinley,1984,30,41,High,272,208,Medium,175.2,26.4,Yes
6951698326,Hannibal,Johanna Lindsey,1979,13,46,Medium,272,694,Long,168.39999999999998,42.7,Yes
0553107437,Claws and Effect,Rita Mae Brown,2001,5,24,Low,340,772,Long,206.0,58.6,Yes
7480800186,A Bend in the Road,Jane B. Mason,1980,18,45,Medium,285,127,Short,178.2,12.35,Yes
3453092473,Nodus.,Arthur C. Clarke,1996,1,29,Low,405,658,Long,243.4,42.9,Yes
5598742433,Breathing Lessons,Gail Diven,1916,25,109,High,576,904,Long,355.6,57.2,Yes
0613224450,Still Waters,Tami Hoag,1992,12,33,Medium,0,453,Medium,4.800000000000001,22.65,No
0385502532,Drowning Ruth,Christina Schwarz,2000,12,25,Medium,272,542,Long,168.0,43.1,Yes
006019541X,Blue Angel,Francine Prose,2000,6,25,Medium,192,987,Long,117.6,55.35,Yes
0613325419,Fantastic Beasts and Where to Find Them,J. K. Rowling,2001,39,24,High,1,881,Long,16.200000000000003,44.05,No
4125738044,This Boy's Life: A Memoir,Richard Zimler,2005,28,20,High,0,285,Medium,11.2,14.25,No
0345377079,Dear James,Jon Hassler,1993,4,32,Low,0,627,Long,1.6,31.35,No
0312283709,Running with Scissors,Augusten Burroughs,2002,19,25,Medium,335,598,Long,208.6,45.900000000000006,Yes
3707777119,By the Light of the Moon,Scott Turow,1946,17,80,Medium,214,936,Long,135.20000000000002,52.8,Yes
8433925180,El Antropologo Inocente,Nigel Barley,1998,1,27,Low,0,795,Long,0.4,39.75,No
0006514588,Three wise men,Martina Devlin,2000,1,27,Low,166,967,Long,100.0,62.35,Yes
1896764096,Girl Who Hated Books(the),Manjusha Pawagi,1998,1,27,Low,230,803,Long,138.4,60.150000000000006,Yes
0385424736,The Rainmaker,John Grisham,1995,67,28,High,139,854,Long,110.2,60.7,Yes
067146969X,DAWNFIRE,Lynn Erickson,1984,1,41,Low,740,109,Short,444.4,25.45,Yes
1378746252,Dragonsdawn,Robert Ludlum,1924,37,101,High,301,232,Medium,195.4,25.6,Yes
1182960277,Charlotte's Web,Rachel Billington,1950,14,75,Medium,154,422,Medium,98.0,35.1,Yes
7246487016,Bride Of Black Douglas (Mira),Stephen King,1911,16,114,Medium,43,237,Medium,32.2,13.85,Yes
0373764677,The Seal's Surprise Baby,Amy J. Fetzer,2002,3,22,Low,12,379,Medium,8.399999999999999,18.95,No
0671008781,Spectre (Star Trek),William Shatner,1998,7,27,Medium,180,535,Long,110.8,38.75,Yes
325723273X,Richtig leben mit Geri Weibel.,Martin Suter,2001,1,24,Low,553,660,Long,332.2,47.0,Yes
0385050755,The Time It Never Rained,Elmer Kelton,1973,8,52,Medium,0,198,Short,3.2,9.9,No
8102139307,Wait For the Morning (Heartsong Presents #194),Anita Diamant,1978,19,47,Medium,88,760,Long,60.4,46.0,Yes
1293801601,Im Eishaus.,Wolfgang Hohlbein,1925,33,102,High,62,376,Medium,50.4,20.8,No
3717310139,The Summerhouse,Bill Watterson,1907,45,118,High,120,919,Long,90.0,49.95,Yes
0340765887,Does My Bum Look Big in This?,Arabella Weir,1999,1,26,Low,0,895,Long,0.4,44.75,No
0316142336,At the Plate with...Ken Griffey Jr. (Matt Christopher Sports Biographies),Matt Christopher,1997,2,28,Low,0,319,Medium,0.8,15.95,No
1202297300,Island of the Blue Dolphins,Carolyn Keene,1952,1,73,Low,240,110,Short,144.4,17.5,Yes
3596113350,Die Mambo Kings spielen Songs der Liebe. Roman.,Oscar Hijuelos,1992,1,33,Low,456,317,Medium,273.99999999999994,31.85,Yes
1661895877,"Castle of Wizardry (The Belgariad, Book 4)",Zondra Lewis Knapp,1955,49,70,High,48,478,Medium,48.4,31.9,Yes
0679433015,Servant of the Bones,Anne Rice,1996,40,30,High,90,139,Short,70.0,18.95,No
3814093766,The Hostage Bride,Kathleen E. Woodiwiss,2002,32,25,High,71,206,Medium,55.400000000000006,14.3,No
344272872X,Lokalausgabe. Sonderausgabe.,Shulamit Lapid,2001,2,24,Low,0,753,Long,-4.6,37.65,No
0595256775,Scooter and the Galactic Starship,Douglas R. Robinson,2002,3,23,Low,320,511,Long,193.2,45.55,Yes
4460102029,Preventive Organic Medicine (Pivot Health Book),Edith Pargeter,1958,34,67,High,297,588,Long,191.8,35.400000000000006,Yes
2519466457,New Pregnancy and Birth Book,Robert Ludlum,1963,20,62,Medium,168,909,Long,108.8,59.45,Yes
0688101194,The Manson Curse,Dell Shannon,1990,3,35,Low,0,282,Medium,1.2000000000000002,14.1,No
8722834639,Pop Goes the Weasel,Holly-Jane Rahlens,1975,20,52,Medium,293,283,Medium,183.8,20.15,Yes
1300939769,Perish Twice,Linda Howard,2012,31,13,High,108,672,Long,77.2,41.6,Yes
0385323832,Cuba Libre,Elmore Leonard,1998,21,27,High,9,697,Long,13.8,34.85,No
0060938412,The Accidental Virgin,Valerie Frankel,2003,4,22,Low,235,594,Long,142.6,39.7,Yes
0842343253,Nicolae High (Left Behind: The Kids #5),Jerry B. Jenkins,1999,1,28,Low,3,245,Medium,1.7999999999999998,12.25,No
2214803114,Wolf Moon,John Bayley,2012,39,13,High,504,479,Medium,318.0,35.95,Yes
6269795808,Shopaholic Ties the Knot,Liz Curtis Higgs,1960,35,65,High,50,977,Long,44.0,58.85,Yes
0871130297,The God of Mirrors,Robert Reilly,1986,2,39,Low,0,680,Long,0.8,34.0,No
9381057526,The Hemingway Book Club of Kosovo,Bryan Cholfin,1903,45,122,High,230,136,Short,156.0,16.8,Yes
0060910992,Babycakes,Armistead Maupin,1984,17,41,Medium,104,753,Long,69.2,53.65,Yes
0312109393,The Bette Davis Murder Case,George Baxt,1994,2,31,Low,343,593,Long,206.6,43.650000000000006,Yes
2828153685,Der kleine Beziehungsberater.,Hozy Rossi,1966,1,57,Low,107,459,Medium,64.2,28.950000000000003,No
0425186857,From This Moment on,Lynn Kurland,2002,3,23,Low,0,642,Long,1.2000000000000002,32.1,No
7999721867,The Blind Assassin,Adam J. Jackson,1920,49,105,High,360,562,Long,235.6,36.1,Yes
155166545X,House On Olive Street,Robyn Carr,1999,17,26,Medium,0,178,Short,6.800000000000001,8.9,No
4916633935,Pequenos Altares,Iris Johansen,1956,1,68,Low,381,458,Medium,228.6,36.900000000000006,Yes
0812511816,"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990,69,35,High,351,897,Long,238.2,62.85,Yes
0679441239,Anything Considered,Peter Mayle,1996,5,29,Low,0,652,Long,2.0,32.6,No
6611419331,The little PC Book Windows XP Edition,Almudena Grandes,1907,7,118,Medium,39,328,Medium,26.2,18.4,Yes
0898799767,Writer's Digest Flip Dictionary,Barbara Ann Kipfer,2000,2,24,Low,0,742,Long,-22.6,37.1,No
2355454303,Me Talk Pretty One Day,Mark A. S. McMenamin,1918,20,107,Medium,270,778,Long,170.0,44.900000000000006,Yes
0385600593,Blackberry Wine,Joanne Harris,2000,13,24,Medium,16,693,Long,14.8,34.65,No
0688084923,"Morning, Noon, and Night",Sidney Sheldon,1995,8,30,Medium,0,533,Long,3.2,26.65,No
4064416927,Des Teufels Kardinal.,David Icke,1965,25,59,High,89,83,Short,63.4,14.15,No
0671016792,SKATING FOR THE GOLD,Chip Lovitt,1997,6,29,Medium,288,317,Medium,175.2,23.85,Yes
0967231434,Small leather journal with strap-myra series,Anatolian Treasures,1999,2,26,Low,342,727,Long,206.0,54.35,Yes
8723804616,Mirror Image,Gill Farrer-Halls,1901,6,124,Medium,60,290,Medium,38.4,18.5,Yes
0886775744,The Book of Earth (Dragon Quartet),Marjorie B. Kellogg,1995,1,30,Low,0,237,Medium,0.4,11.85,No
0679433015,Servant of the Bones,Anne Rice,1996,38,29,High,114,142,Short,83.6,19.1,Yes
3853137918,Feeling Good : The New Mood Therapy,Greg Egan,2003,47,22,High,84,898,Long,69.2,52.900000000000006,Yes
039592720x,Interpreter of Maladies,Jhumpa Lahiri,1999,31,28,High,0,445,Medium,10.0,22.25,No
1563411156,The Second Coming of Curly Red,Jody Seay,1999,2,26,Low,31,841,Long,19.4,42.05,No
0380790890,Well Pleasured Lady,Christina Dodd,1997,4,30,Low,433,982,Long,261.40000000000003,59.1,Yes
0446692298,Fat Girls and Lawn Chairs,Cheryl Peck,2004,3,20,Low,984,879,Long,591.6,63.95,Yes
0446525774,Saving Faith,David Baldacci,1999,64,26,High,0,591,Long,25.6,29.55,Yes
051513399X,Smoke in Mirrors,Jayne Ann Krentz,2002,5,21,Low,1,128,Short,2.6,6.4,No
1211318335,Come Before Winter and Share My Hope,Tony Hillerman,1959,25,66,High,255,365,Medium,163.0,24.25,Yes
0028621239,The Complete Idiot's Guide to Knitting &amp; Crocheting,Gail Diven,1999,3,26,Low,0,875,Long,1.2000000000000002,43.75,No
0375403582,Rules of the Wild,Francesca Marciano,1998,7,27,Medium,0,404,Medium,2.8000000000000003,20.200000000000003,No
0061219800,Pilgrim at Tinker Creek,Annie Dillard,1974,18,51,Medium,0,283,Medium,7.2,14.15,No
0393022722,Deep Lie,Stuart Woods,1986,14,39,Medium,0,648,Long,5.6000000000000005,32.4,No
0553585118,Once a Thief,Kay Hooper,2002,4,23,Low,211,951,Long,128.2,53.55,Yes
4819983572,Colours of Survival,Charles R. Swindoll,1991,32,34,High,512,598,Long,320.0,45.900000000000006,Yes
9519610586,The Bride's Rescuer,Armistead Maupin,1962,23,63,High,240,791,Long,153.2,51.55,Yes
055309999X,The Main Corpse,Diane Mott Davidson,1996,6,29,Medium,0,131,Short,2.4000000000000004,6.550000000000001,No
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,61,22,High,0,218,Medium,24.4,10.9,Yes
0141802731,Code to Zero,Ken Follett,2000,36,25,High,0,599,Long,14.4,29.950000000000003,No
6939169401,Letters from Cicely,V.K. Narayanan,1962,1,65,Low,346,747,Long,208.0,49.35,Yes
0743214927,The Cheese Monkeys : A Novel in Two Semesters,Chip Kidd,2001,1,24,Low,0,167,Short,0.4,8.35,No
0525944834,Liar's Game,Eric Jerome Dickey,2000,4,27,Low,23,186,Short,15.4,9.3,No
6362786224,Tempting the Heiress,Terry Pratchett,1919,47,106,High,67,432,Medium,59.0,23.6,Yes
5183083133,Wish You Well,Joan Didion,1963,15,62,Medium,0,232,Medium,6.0,11.6,No
0525940111,The Rosewood Casket,Sharyn McCrumb,1996,6,29,Medium,105,598,Long,65.4,43.900000000000006,Yes
0374138591,The Devil's Larder,Jim Crace,2001,8,22,Medium,347,278,Medium,211.4,27.9,Yes
8435015521,Justine - El Cuarteto de Alejandria I,Lawrence Durrell,1999,1,26,Low,0,157,Short,0.4,7.85,No
8096953298,The Dead Zone,Robert B. Parker,1997,40,28,High,688,170,Short,428.8,24.5,Yes
0609805509,Debbie Travis' Painted House Living &amp; Dining Rooms: 60 Stylish Projects to Transform Your Home,Debbie Travis,2001,1,24,Low,304,941,Long,182.8,63.05,Yes
0671728571,Wildest Hearts,Jayne Ann Krentz,1993,7,32,Medium,0,196,Short,2.8000000000000003,9.8,No
0451458842,The Glasswrights' Journeyman,Mindy L. Klasky,2002,5,23,Low,0,977,Long,2.0,48.85,No
039449461X,Far Tortuga,Peter Matthiessen,1975,8,50,Medium,2,632,Long,4.4,31.6,No
4837691795,Tango Finale.,Kim Stanley Robinson,1965,37,60,High,0,559,Long,14.8,27.950000000000003,No
4665968573,Silicon Follies,Lewis Nordan,2020,2,5,Low,855,389,Medium,513.8,37.45,Yes
0765307596,Eastern Standard Tribe,Cory Doctorow,2004,8,21,Medium,0,419,Medium,3.2,20.950000000000003,No
0446519138,Simple Abundance:  A Daybook of Comfort and Joy,Sarah Ban Breathnach,1995,2,28,Low,0,379,Medium,-5.8,18.95,No
9801685526,Shinju,Gail Link,1954,45,71,High,553,656,Long,349.8,46.8,Yes
3227960130,Irish Hearts,Nick Hornby,1909,23,116,High,460,231,Medium,285.2,21.55,Yes
0849912962,Just Like Jesus,Max Lucado,1998,3,27,Low,0,585,Long,1.2000000000000002,29.25,No
6626802343,The Toy Factory (Sammy and Brian Mystery),Christopher Moore,1951,7,74,Medium,891,146,Short,537.4,25.3,Yes
2133488323,Shot in the Heart,Richard North Patterson,1913,42,112,High,272,326,Medium,180.0,28.3,Yes
6196125570,Hannibal,Landoll,1929,5,96,Low,222,951,Long,135.2,59.55,Yes
4936294211,"Intrusive Man  (Born In The Usa) (Born in the USA, Indiana)",Mary Brown,1962,5,63,Low,364,435,Medium,220.4,29.75,Yes
1966527750,Appointment with Il Duce,Jeffery Deaver,1918,18,107,Medium,152,548,Long,98.4,35.400000000000006,Yes
9001809865,The Mulberry Tree,Nick Hornby,2013,45,12,High,152,409,Medium,109.2,24.450000000000003,Yes
0345412451,The Termination Node,Lois H. Gresh,1999,1,26,Low,0,257,Medium,0.4,12.85,No
0805056491,Organizing from the Inside Out,Julie Morgenstern,1998,6,27,Medium,666,966,Long,402.0,66.30000000000001,Yes
3522714504,Das Druidentor.,Wolfgang Hohlbein,1993,11,30,Medium,194,153,Short,120.8,17.65,Yes
0060179252,New York Dead,Stuart Woods,1991,12,35,Medium,0,767,Long,-16.799999999999997,38.35,No
0399139125,River of Hidden Dreams,Connie May Fowler,1994,4,31,Low,144,902,Long,87.99999999999999,53.1,Yes
0399144897,The White House Connection,Jack Higgins,1999,23,26,High,0,712,Long,9.2,35.6,No
1593553927,Bet Me,Jennifer Crusie,2004,6,21,Medium,144,526,Long,88.8,42.3,Yes
0151731527,Possessing the Secret of Joy,Alice Walker,1992,17,33,Medium,532,826,Long,326.0,55.3,Yes
0553091263,The Fist of God,Frederick Forsyth,1994,5,31,Low,0,436,Medium,2.0,21.8,No
0312274971,Hardcase,Dan Simmons,2001,6,22,Medium,27,575,Long,18.6,28.75,No
325706277X,Handbuch des Kriegers des Lichts.,Paulo Coelho,2001,1,24,Low,388,593,Long,233.2,37.650000000000006,Yes
0373451911,For Old Times Sake (Men: Made In America) (Men Made in America),Kathleen Eagle,1995,1,30,Low,210,640,Long,126.4,52.0,Yes
0679403477,A Natural History of Love,Diane Ackerman,1994,4,31,Low,171,457,Medium,104.2,40.85,Yes
B0000E63CJ,Dreamcatcher,Stephen King,2001,55,24,High,287,255,Medium,194.2,26.75,Yes
9686416739,Sister of My Heart,Carolyn Keene,2005,2,20,Low,76,525,Long,46.4,30.25,Yes
