Title,Author,Subjects,First Publish Year,Edition Count,ISBN
Celtic Myths and Legends,Fiona MacDonald,,2013.0,7.0,
Scottish Folk and Fairy Tales (Penguin Popular Classics),Not Found,Not Found,,,
Terrible Times (Eddie Dickens Trilogy S.),Not Found,Not Found,,,
CantilÃ¨nes en gelÃ©e ; Barnum's digest ; Vingt poÃ¨mes inÃ©dits (10/18 [i.e. Dix/dix-huit] ; 517),Not Found,Not Found,,,
Glasgow Zen,"Alan Spence, Alan Spence",,1981.0,3.0,
Totally Muffins Cookbook (Totally Cookbooks),"Helene Siegel, Karen Gillingham",,,1.0,
Tigger's Little Book of Diet and Exercise,A. A. Milne,,2002.0,1.0,
Eeyore's Little Book of Gloom,"A. A. Milne, E. H. Shepard",,2013.0,1.0,
The Adventures of Dougal,"Thompson, Eric",,1971.0,1.0,
Amy and Isabelle,"Elizabeth Strout, Suzanne V. Mayoux, Anna Mauri Batlle",,1998.0,22.0,
"Rule of the Bone : Novel, A",Not Found,Not Found,,,
Me Talk Pretty One Day,David Sedaris,,2000.0,21.0,
Stone Butch Blues,Leslie Feinberg,,1993.0,38.0,
stardust,Neil Gaiman,,1997.0,61.0,
Fires of Aggar,Chris Anne Wolfe,,2001.0,1.0,
Kamikaze Lust,Lauren Sanders,,2000.0,2.0,
Gossamer Axe,Gael Baudino,,1990.0,3.0,
Witchfire,Robert Charles,,2010.0,3.0,
Seven Moves,Carol Anshaw,,1996.0,6.0,
Return to Isis,"Stewart, Jean",,1992.0,1.0,
Hood,Howard Pyle,,1883.0,368.0,
Leaving Pipe Shop: Memories of Kin,Not Found,Not Found,,,
Love Ruins Everything: A Novel,Not Found,Not Found,,,
"Skin: Talking About Sex, Class &amp; Literature",Not Found,Not Found,,,
"Death: At Death's Door (Vertigo, Number 1)",Not Found,Not Found,,,
The Second Coming of Curly Red,Jody Seay,,1999.0,2.0,
Night Mares,Piers Anthony,,1983.0,9.0,
Hen's Teeth,"Stephen Jay Gould, Marcel Blanc",,1983.0,13.0,
The Door to December,Dean Koontz,,1985.0,25.0,
"No Shirt, No Shoes, No Problem!",Jeff Foxworthy,,1996.0,4.0,
The Scions of Shannara (Heritage of Shannara (Paperback)),Not Found,Not Found,,,
Star Wars the Rebel Dawn: The Han Solo Trilogy (Star Wars: Han Solo Trilogy (Paperback)),Not Found,Not Found,,,
"The Hutt Gambit (Star Wars: The Han Solo Trilogy, Vol. 2)",Not Found,Not Found,,,
"The Paradise Snare (Star Wars: The Han Solo Trilogy, Volume 1)",Not Found,Not Found,,,
A Year of Full Moons,Madelyn Arnold,,2000.0,3.0,
Alanna: The First Adventure (Song of the Lioness (Paperback)),Not Found,Not Found,,,
"The Beans of Egypt, Maine",Carolyn Chute,,1986.0,3.0,
Warrior Moon,Sara Orwig,,1995.0,1.0,
The Funhouse,Dean Koontz,,1980.0,24.0,
Cold Iron,Nicolas Freeling,,1986.0,6.0,
Circle of Three #12: Written in the Stars (Circle of Three),Isobel Bird,,2001.0,19.0,
The Space Merchants,"Frederik Pohl, Cyril M. Kornbluth",,1952.0,26.0,
DREAMSNAKE,Vonda N. McIntyre,,1978.0,11.0,
Titan,Rick Riordan,,2007.0,48.0,
The Year They Burned the Books,Nancy Garden,,1999.0,2.0,
A Density of Souls,Christopher Rice,,2000.0,7.0,
Slow River,Nicola Griffith,,1995.0,9.0,
Changer,Robert H. Schuller,,2013.0,1.0,
Trixie Belden and the Mystery Off Glen Road (Mystery Off Glen Road),Julie Campbell,,1956.0,8.0,
Lark in the Morning,Elfrida Vipont,,1948.0,4.0,
Saving Grace,Julie Garwood,,1993.0,13.0,
Lena (50 State Quarters),Not Found,Not Found,,,
I Hadn't Meant to Tell You This,Jacqueline Woodson,,1994.0,10.0,
Raise the Roof: The Inspiring Inside Story of the Tennessee Lady Vols' Undefeated 1997-98 Season,Not Found,Not Found,,,
"Ufos, JFK and Elvis: Conspiracies You Don't Have to Be Crazy to Believe",Not Found,Not Found,,,
About a Boy (Movie Tie-In),Not Found,Not Found,,,
The Thorn Birds (Modern Classics),Not Found,Not Found,,,
Dreamcatcher,Stephen King,,2001.0,55.0,
Sudden Mischief (Spenser Mysteries (Hardcover)),Not Found,Not Found,,,
Elements of Programming With Perl,Andrew L. Johnson,,1999.0,1.0,
To Catch a Cat,Marian Babson,,2000.0,3.0,
"People of the Wolf (The First North Americans series, Book 1)",Kathleen O'Neal Gear,,1992.0,1.0,
College Majors and Careers: A Resource Guide for Effective Life Planning (College Majors and Careers),Not Found,Not Found,,,
Smilla's Sense of Snow,Peter Høeg,,1993.0,1.0,
The Grass Is Always Greener over the Septic Tank,Erma Bombeck,,1976.0,8.0,
Viaggi del tempo immobile (I coralli),Not Found,Not Found,,,
Rumpole on Trial,John Mortimer,,1992.0,4.0,
Billy Bathgate,E. L. Doctorow,,1989.0,26.0,
Citizens: A Chronicle of the French Revolution,Not Found,Not Found,,,
The Man Who Killed the Deer,Frank Waters,,1777.0,32.0,
The Music of Dolphins (Apple Signature Edition),Not Found,Not Found,,,
Sunwing (Aladdin Fantasy),Not Found,Not Found,,,
Caddie Woodlawn - Newbery Promo '99 (Aladdin Fiction),Not Found,Not Found,,,
The Hork-Bajir Chronicles (Animorphs Series),Not Found,Not Found,,,
The Silver Chair (full color) (Narnia),C.S. Lewis,,2000.0,1.0,
The Magician's Nephew (Narnia),"C.S. Lewis, Dramatization",,1997.0,1.0,
"Circles in the Stream (Avalon: Web of Magic, 1)","Shelly Roberts, Rachel Roberts",,2003.0,1.0,
High Wizardry: The Third Book in the Young Wizards Series,Not Found,Not Found,,,
Deep Wizardry: The Second Book in the Young Wizards Series,Not Found,Not Found,,,
So You Want to Be a Wizard: The First Book in the Young Wizards Series,Not Found,Not Found,,,
Going for Great (Ag Fiction (American Girl)),Not Found,Not Found,,,
"All That Glitters (Avalon, 2)",Rachel Roberts,,2001.0,6.0,
"Cry of the Wolf (Avalon, 3)",Rachel Roberts,,2003.0,2.0,
"The Secret of the Unicorn (Avalon Web of Magic, 4)",Rachel Roberts,,2002.0,2.0,
Avalon: Web Of Magic #5: Spellsinger,Rachel Roberts,,2012.0,1.0,
Trial by Fire,Josephine Angelini,,2014.0,5.0,
"Ties That Bind, Ties That Break (Laurel-Leaf Books)",Not Found,Not Found,,,
"The Hauntings of Williamsburg, Yorktown, and Jamestown",Jackie Eileen Behrend,,1998.0,1.0,
The Janitor's Boy,Andrew Clements,,2000.0,2.0,
The Giver (21st Century Reference),Not Found,Not Found,,,
The Heavenly Man: The Remarkable True Story of Chinese Christian Brother Yun,Not Found,Not Found,,,
The Little Book of Chocolate (Little Book Of...(Flammarion)),Not Found,Not Found,,,
Das Schlampenbuch. ErzÃ?Â¤hlungen. ( neue frau).,Not Found,Not Found,,,
Die zwei Gesichter des Januars.,Not Found,Not Found,,,
Nacht Ã?Â¼ber den Wassern.,Not Found,Not Found,,,
Die SÃ?Â¤ulen der Erde. Roman.,Not Found,Not Found,,,
A Man Rides Through (Man Rides Through),Stephen R. Donaldson,,1987.0,5.0,
Mirror of Her Dreams (Mordant's Need),Not Found,Not Found,,,
Reader,Houghton Mifflin Company Staff,,2005.0,200.0,
The Dead Zone,Stephen King,,1979.0,86.0,
A New Germany in a New Europe,Todd Herzog,,2000.0,3.0,
"Belonging in the Two Berlins : Kin, State, Nation (Cambridge Studies in Social and Cultural Anthropology)",Not Found,Not Found,,,
The Great Depression : America 1929-1941,Not Found,Not Found,,,
Lady of the Shroud,Bram Stoker,,2018.0,27.0,
"Dark Tide I: Onslaught (Star Wars: The New Jedi Order, Book 2)",Not Found,Not Found,,,
LONG DARK TEA TIME OF THE SOUL,"Douglas Adams, Douglas Adams",,1988.0,34.0,
The Return of Simple,Langston Hughes,,1994.0,5.0,
Half Moon Street (Charlotte &amp; Thomas Pitt Novels (Paperback)),Anne Perry,,2000.0,1.0,
A Minor Indiscretion (Red Dress Ink (Paperback)),Not Found,Not Found,,,
"For Better, for Worse: A Novel",Not Found,Not Found,,,
Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Not Found,Not Found,,,
The Forest House,Marion Zimmer Bradley,,1993.0,18.0,
American Poetry Since 1970: Up Late,Unknown,,,1.0,
Twin Blessings (Love Inspired (Numbered)),Not Found,Not Found,,,
West of Dodge: Frontier Stories,Not Found,Not Found,,,
"How to Make $1,000 a Minute: Negotiating Salaries and Raises",Not Found,Not Found,,,
Non-manipulative selling,Anthony J. Alessandra,,1979.0,4.0,
Come Before Winter and Share My Hope,Charles R. Swindoll,,1985.0,5.0,
The Bear and the Dragon,Tom Clancy,,2000.0,23.0,
Ender's Game (Ender Wiggins Saga (Paperback)),Not Found,Not Found,,,
Thinking on paper,"Judy Markline, Rose Brown, Bob Isaacson, Rose Hawkins",,1987.0,7.0,
Net Force,"Tom Clancy, Steve R. Pieczenik",,1998.0,23.0,
The Internet Church,Walter P. Wilson,,2000.0,2.0,
The Mp3 and Internet Audio Handbook: Your Guide to the Digital Music Revolution,Not Found,Not Found,,,
The Way Things Ought to Be,Rush Limbaugh,,1992.0,5.0,
A Time to Kill,John Grisham,,1989.0,79.0,
The Truth About Texas: Who Needs to Brag? We'Ve Got the Facts,Not Found,Not Found,,,
Awakening,Kate Chopin,,1899.0,346.0,
Wall Street's Picks for 2000: An Insider's Guide to the Year's Best Stocks &amp; Mutual Funds (Wall Street's Picks),Not Found,Not Found,,,
Poetics of the New American Poetry,Donald Allen,,1973.0,1.0,
Patriot Games,Tom Clancy,,1975.0,17.0,
Dead Men Do Tell Tales: The Strange and Fascinating Cases of a Forensic Anthropologist,Not Found,Not Found,,,
Moonlighting: 148 Great Ways to Make Money on the Side,Not Found,Not Found,,,
Amanda Miranda,Richard Peck,,1980.0,4.0,
Chasing the Dime,Michael Connelly,,2002.0,9.0,
Tender Triumph (Sonnet Books),Not Found,Not Found,,,
The Cat Who Tailed a Thief,Lilian Jackson Braun,,1997.0,3.0,
Guilt,Shelby Steele,,2006.0,11.0,
On Secret Service,Ian Fleming,,1963.0,7.0,
Charming Billy,Alice McDermott,,1997.0,9.0,
All the Days of My Life,"Philip Davis, Philip David",,2000.0,1.0,
The Dinner Party,Neil Simon,,2000.0,2.0,
A Palette for Murder: Murder She Wrote (Murder She Wrote (Paperback)),Not Found,Not Found,,,
Golden Cup,Belva Plain,,1986.0,3.0,
Murder at the Library of Congress (Capital Crimes (Paperback)),Not Found,Not Found,,,
No Safe Place,Deborah Ellis,,2010.0,4.0,
Thorns of Truth,Eileen Goudge,,1998.0,3.0,
Granny Dan,Danielle Steel,,1998.0,37.0,
Border Bride,Bertrice Small,,2007.0,2.0,
The Penwyth Curse,Catherine Coulter,,2003.0,6.0,
Xanth 15: The Color of Her Panties,Not Found,Not Found,,,
Der FÃ?Â¼rst der Finsternis. Roman.,Not Found,Not Found,,,
A Reporter's Life,Walter Cronkite,,1996.0,6.0,
Jacob Marley's Christmas Carol,Tom Mula,,1995.0,3.0,
"Practice Makes Pregnant   Manhattan Multiples (Silhouette Special Edition, 1569)",Not Found,Not Found,,,
"The Secret Lives of Girls: What Good Girls Really Do--Sex Play, Aggression, and Their Guilt",Not Found,Not Found,,,
Hound of the Baskervilles (Aladdin Classics),Not Found,Not Found,,,
SLEEPING MURDER,Agatha Christie,,1940.0,103.0,
The Fractal Murders (Pepper Keane Mysteries),Mark Cohen,,2002.0,1.0,
"Blowtorch Psycho.Com (Bone Chillers, No 18)",Betsy Haynes,,1997.0,2.0,
Final Stand,RH Disney,,2001.0,1.0,
Christmas : A Holiday Treasury,"Della Rowland, Lynn Bywaters",,1993.0,1.0,
Magic House of Numbers.,Irving Adler,,1957.0,7.0,
Lord of the Silent: A Novel of Suspense,Not Found,Not Found,,,
Whisper to Me of Love,Shirlee Busbee,,1991.0,5.0,
Wuthering Heights,Emily Brontë,,1846.0,2849.0,
The Stars Shine Down,Sidney Sheldon,,1995.0,9.0,
Toxin,Robin Cook,,1999.0,5.0,
This Present Darkness,Frank E. Peretti,,1986.0,26.0,
The Mothman Prophecies,John A. Keel,,1975.0,7.0,
Meet the Stars of Buffy the Vampire Slayer,Jan Gabriel,,1998.0,2.0,
Rush to the Altar  (Twin Brides),Not Found,Not Found,,,
All-American Girl,Meg Cabot,,2002.0,13.0,
The Silver Metal Lover,Tanith Lee,,1981.0,7.0,
"The Virgin's Secret Marriage   The Brides Of Holly Springs (Harlequin American Romance, No. 997)",Not Found,Not Found,,,
A Christmas Story,Brian Wildsmith,,1989.0,12.0,
Dark Paradise,Tami Hoag,,1994.0,11.0,
Middlesex: A Novel,Jeffrey Eugenides,,2005.0,1.0,
Somebody Help Me,Beverly Hastings,,1993.0,2.0,
Other worlds: The comical history of the states and empires of the moon and sun (Science fiction master series),Not Found,Not Found,,,
Introduction to Fire Prevention (5th Edition),Not Found,Not Found,,,
To Catch A Sheik  (Desert Brides),Not Found,Not Found,,,
The Awakening and Selected Stories of Kate Chopin (Signet Classic),Not Found,Not Found,,,
Ordinary People,Judith Guest,,1976.0,25.0,
The Rainmaker,John Grisham,,1995.0,67.0,
"On The Tycoon's Terms   Do Not Disturb! (Harlequin Presents, 2348)",Not Found,Not Found,,,
Sleeping Partners  (Nine to Five),Not Found,Not Found,,,
The Real Mother Goose,"Blanche Fisher Wright, Checkerboard",,1916.0,40.0,
Heathcliff Gone Fishing,George Gately,,1985.0,1.0,
The Bad Place,Dean Koontz,,1990.0,45.0,
Two for Texas,James Lee Burke,,1982.0,5.0,
The Amazing Adventures of Kavalier &amp; Clay,Michael Chabon,,1957.0,36.0,
Greygallows,Barbara Michaels,,1972.0,12.0,
Into the Darkness,R. L. Stine,,1997.0,5.0,
Someone in the House,Barbara Michaels,,1981.0,11.0,
The Phantom Tollbooth,Norton Juster,,1961.0,64.0,
Dances With Wolves,"Blake, Michael",,1988.0,9.0,
The House With a Clock in Its Walls,John Bellairs,,1973.0,41.0,
Hoot (Newbery Honor Book),Not Found,Not Found,,,
Catnap : A Midnight Louie Mystery (A Midnight Louie Mystery),Not Found,Not Found,,,
The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,William Goldman,,1973.0,2.0,
A Dangerous Place: California's Unsettling Fate (Images of America),Not Found,Not Found,,,
Black Hawk Down: A Story of Modern War,Not Found,Not Found,,,
The Burberry Style,Jonathan Pearce,,2002.0,1.0,
Heavier Than Air (Balona Books),Jonathan Pearce,,2001.0,1.0,
A Little Honesty: Trials and Triumphs of a Prince of Balona,Not Found,Not Found,,,
The Balona Klongs,Jonathan Pearce,,1999.0,1.0,
Sang Froyd (Balona Books),Jonathan Pearce,,1999.0,1.0,
The Chocolate Korndog,Jonathan Pearce,,2002.0,1.0,
One Brick Shy,Jonathan Pearce,,2000.0,1.0,
Spring Break,Robert Lawrence Stine,,1999.0,2.0,
Focusing the Private Eye,Jonathan Pearce,,2000.0,1.0,
A Cuisine of Leftovers,Jonathan Pearce,,2000.0,1.0,
Finding Dad,Janice Kay Johnson,,,1.0,
Natural Causes,"Adam Smith, Andrew Skinner",,1788.0,41.0,
Degree of Guilt,Richard North Patterson,,1992.0,14.0,
Wuthering Heights (Penguin Popular Classics),Not Found,Not Found,,,
Emma (Penguin Popular Classics),Not Found,Not Found,,,
The Art of Travel,Alain De Botton,,2002.0,5.0,
SO LONG AND THANKS FOR ALL THE FISH (Hitchhiker's Trilogy (Paperback)),Not Found,Not Found,,,
Fight Club,"Chuck Palahniuk, James Colby, Javier Calvo Perales, Jordi Cussà Balaguer",,1996.0,40.0,
SHIPPING NEWS,Annie Proulx,,1993.0,54.0,
The Frog King: A Love Story,Not Found,Not Found,,,
Outhouses of Alaska,Harry M. Walker,,1996.0,1.0,
The Smoke Jumper,Nicholas Evans,,2001.0,23.0,
The Unbearable Lightness of Being,Malcolm Pryce,,2006.0,3.0,
A Spell for Chameleon (Xanth Novels (Paperback)),Not Found,Not Found,,,
Anne of Green Gables (Anne of Green Gables Novels (Paperback)),Not Found,Not Found,,,
"Das Kurze Leben Der Sophie Scholl (Fiction, Poetry and Drama)",Not Found,Not Found,,,
Cloud Atlas : A Novel,Not Found,Not Found,,,
Everything Is Illuminated : A Novel,Not Found,Not Found,,,
Post Office,Charles Bukowski,,1974.0,16.0,
On the Road (Essential.penguin S.),Not Found,Not Found,,,
Hard-Boiled Wonderland and the End of the World: A Novel (Vintage International),Not Found,Not Found,,,
Norwegian Wood (Vintage International Original),Not Found,Not Found,,,
A Little Princess,"Frances Hodgson Burnett, Johanna Ward, Oxford University Press Staff, Jennifer Bassett, Justine Eyre, Nancy Bond",,1905.0,303.0,
Talking to Dragons (Enchanted Forest Chronicles (Paperback)),Not Found,Not Found,,,
The Call of the Wild: And Selected Stories (Signet Classics (Paperback)),Not Found,Not Found,,,
A Life God Rewards for Teens (The Breakthrough Series),Not Found,Not Found,,,
Calling on Dragons (Read with Me Paperbacks),Not Found,Not Found,,,
A Temporary New Wife,Malcolm Goodway,,2004.0,1.0,
Fall On Your Knees (Oprah #45),Not Found,Not Found,,,
Reap the Wind,Iris Johansen,,1997.0,11.0,
The Survivors Club,Lisa Gardner,,2002.0,9.0,
Sins of Omission,Fern Michaels,,1989.0,7.0,
White Lies,Kat Singleton,,2023.0,4.0,
Random Winds,Belva Plain,,1980.0,15.0,
The Carousel,Rosamunde Pilcher,,1982.0,30.0,
While I Was Gone,Sue Miller,,1999.0,9.0,
Grass,Walt Whitman,,1855.0,714.0,
One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself Beginner Books),Not Found,Not Found,,,
This Boy's Life: A Memoir,Tobias Wolff,,1989.0,1.0,
Zlateh the Goat and Other Stories,"Isaac Bashevis Singer, Sendak Isaac Singer",,1966.0,29.0,
Winter's Tale,William Shakespeare,,1735.0,353.0,
The Dancing Wu Li Masters: An Overview of the New Physics,Not Found,Not Found,,,
The World According to Garp (Ballantine Reader's Circle),Not Found,Not Found,,,
Farewell To Arms,Ernest Hemingway,,1929.0,100.0,
"The American Constitution: Its Origins and Development, Seventh Edition, Volume II",Not Found,Not Found,,,
Collected Works of Emile Zola,Émile Zola,,1928.0,1.0,
Plato Complete Works,Πλάτων,,2005.0,3.0,
The Twenty-Seventh City : A Novel (Bestselling Backlist),Not Found,Not Found,,,
"Cat (kat), n",B. Kliban,,1975.0,3.0,
Breaking Clean,Jacqueline Wilson,,2005.0,3.0,
Felicia's Journey,William Trevor,,1994.0,23.0,
Possessing the Secret of Joy,Alice Walker,,1992.0,17.0,
History of Croatia,"Stephen Gazi, Stjepan Gaži",,1973.0,2.0,
Angle of Repose (Contemporary American Fiction),Not Found,Not Found,,,
White Noise (Contemporary American Fiction),Not Found,Not Found,,,
Invisible Man,H. G. Wells,,1897.0,416.0,
Of Love and Shadows,Unknown,,1988.0,1.0,
The House of the Spirits,Unknown,,,1.0,
Where the Sidewalk Ends : Poems and Drawings,Not Found,Not Found,,,
Interpreter of Maladies,Jhumpa Lahiri,,1999.0,29.0,
Glorious Country: Food Crafts Decorating,Not Found,Not Found,,,
Loving,David Herbert Lawrence,,1877.0,553.0,
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Not Found,Not Found,,,
She's Come Undone (Oprah's Book Club (Paperback)),Not Found,Not Found,,,
JITTERBUG PERFUME,Tom Robbins,,1984.0,12.0,
STONES FROM THE RIVER,Ursula Hegi,,1994.0,13.0,
Clarissa (abridged),Samuel Richardson,,1772.0,1.0,
Italian Fever: A Novel,Not Found,Not Found,,,
The Illustrated Encyclopedia of Buddhist Wisdom,Gill Farrer-Halls,,2000.0,2.0,
Common Phrases: And Where They Come From,Myron Korach,,2001.0,2.0,
"Notions And Potions: A Safe, Practical Guide To Creating Magic &amp; Miracles",Not Found,Not Found,,,
Dragonfly in Amber,Diana Gabaldon,,1992.0,45.0,
Naked,Isaac Asimov,,1954.0,51.0,
White Teeth,"Zadie Smith, Jenny Sterlin, Ana María de la Fuente Suárez",,2000.0,47.0,
Writing Down the Bones,"Natalie Goldberg, Nathalie Goldberg",,1986.0,10.0,
"K Is for Killer (Grafton, Sue. Kinsey Millhone Mysteries.)",Not Found,Not Found,,,
Ironweed,William Kennedy,,1983.0,14.0,
Swimming in the Volcano: A Novel,Not Found,Not Found,,,
The Grapes of Wrath,John Steinbeck,,1939.0,260.0,
The Grace and Truth Paradox: Responding with Christlike Balance,Not Found,Not Found,,,
The Best Thing I Ever Did for My Marriage : 50 Real Life Stories,Not Found,Not Found,,,
Kreutzersonate. Eine Liebesgeschichte,Margriet de Moor,,2002.0,1.0,
Tollivers Reisen. Stadtgeschichten IV.,Armistead Maupin,,1995.0,2.0,
"HOW TO WIN FRIENDS, REVISED",Dale Carnegie,,1983.0,1.0,
CUCKOO'S EGG,Clifford Stoll,,1989.0,14.0,
Kiss the Girls,James Patterson,,1995.0,36.0,
Different Seasons,Stephen King,,1982.0,60.0,
The Witching Hour (Lives of the Mayfair Witches),Not Found,Not Found,,,
Jack &amp; Jill (Alex Cross Novels),James Patterson,,1714.0,49.0,
Vittorio the Vampire: New Tales of the Vampires,Alan Cumming,,1999.0,1.0,
The House on Mango Street (Vintage Contemporaries),Not Found,Not Found,,,
My Life in Dog Years,Gary Paulsen,,1997.0,7.0,
Black Gold,Adrian Tchaikovsky,,2008.0,6.0,
Red Unicorn (Tor Fantasy),Not Found,Not Found,,,
The Silent Storm: Scholastic Edition,Not Found,Not Found,,,
Black Rainbow,Barbara Michaels,,1982.0,8.0,
The Demon-Haunted World: Science As a Candle in the Dark,Not Found,Not Found,,,
"Teen Love:  On Relationships, A Book for Teenagers",Not Found,Not Found,,,
On The Verge (Red Dress Ink (Paperback)),Not Found,Not Found,,,
Chaser: A Novel in E-Mails,Not Found,Not Found,,,
Cool Women,"Dawn Chipman, Mari Florence, Naomi Wax, Pam Nelson",,1998.0,4.0,
Welcome to My Planet: Where English Is Sometimes Spoken,Not Found,Not Found,,,
A STRING OF CHANCES (String of Chances Nrf),Not Found,Not Found,,,
"Frankenstein Or, the Modern Prometheus",Mary Shelley,,1818.0,90.0,
World of Pies : A Novel,Not Found,Not Found,,,
Love: A User's Guide,Jane Knowles,,1991.0,3.0,
The Perks of Being a Wallflower,"Stephen Chbosky, Stephen Chbosky",,1999.0,43.0,
Patapim e patapam (Le formiche),Not Found,Not Found,,,
Dragons of Summer Flame,"Margaret Weis, Tracy Hickman",,1995.0,18.0,
DANCING AT THE RASCAL FAIR,Agatha Christie,,1987.0,6.0,
Daughter of Fortune : A Novel (Oprah's Book Club (Hardcover)),Not Found,Not Found,,,
"A Beautiful Mind : A Biography of John Forbes Nash, Jr.",Not Found,Not Found,,,
The Bridegroom: Stories (Great Reads),Not Found,Not Found,,,
Kiss the Dust,Elizabeth Laird,,1991.0,7.0,
"Slippage: Previously Poised, Previously Uncollected Stories",Not Found,Not Found,,,
Portrait in Sepia,Louis J. Lang,,1910.0,1.0,
The Pilgrimage Road to Santiago : The Complete Cultural Handbook,Not Found,Not Found,,,
Der Magier. Der Erbe der Nacht.,Not Found,Not Found,,,
Der fremde Freund. (Drachenblut).,Christoph Hein,,,0.0,
Die Meute der Erben.,Gaby Hauptmann,,1998.0,4.0,
Ein Mann fÃ?Â¼r jede Gelegenheit.,Not Found,Not Found,,,
Der Geteilte Himmel,Christa Wolf,,1964.0,42.0,
Helden wie wir.,Thomas Brussig,,1995.0,5.0,
Schamanismus. Reisen der Seele. Magische KrÃ?Â¤fte. Ekstase und Heilung.,Not Found,Not Found,,,
Entdecke den Schamanen in dir. Reise in die innere Welt des Alltags.,Christopher Weidner,,2003.0,1.0,
Das Meer und kleine Fische.,"Terry Goodkind, Terry Pratchett, Ursula K. Le Guin, Anne McCaffrey, Robert Jordan",,2000.0,1.0,
Sofies Welt. Roman Ã?Â¼ber die Geschichte der Philosophie.,Not Found,Not Found,,,
The Book of Lost Tales 2 (The History of Middle-Earth - Volume 2),Not Found,Not Found,,,
The Book of Lost Tales 1 (The History of Middle-Earth - Volume 1),Not Found,Not Found,,,
Waking Up Screaming: Haunting Tales of Terror,Not Found,Not Found,,,
Dharma Bums,Jack Kerouac,,1950.0,54.0,
American Gods,Neil Gaiman,,2001.0,72.0,
Just Here Trying to Save a Few Lives : Tales of Life and Death from the ER,Not Found,Not Found,,,
2061: Odyssey Three,Gene Walden,,,1.0,
"Tales of the City (Tales of the City Series, V. 1)",Not Found,Not Found,,,
Pigeon,Agatha Christie,,1959.0,90.0,
Deadly Sleep,Dale Cowan,,1982.0,1.0,
Demon Night,J. Michael Straczynski,,1988.0,4.0,
Harp and the Blade,John Myers Myers,,1941.0,4.0,
"The World, the Flesh and the Devil",Reay Tannahill,,1985.0,4.0,
"The Skystone (Whyte, Jack. Camulod Chronicles, Bk. 1.)",Not Found,Not Found,,,
"One Tree (Donaldson, Stephen R. Second Chronicles of Thomas Covenant, Bk. 2.)",Not Found,Not Found,,,
White Gold Wielder Chronicles 3 (Second Chronicles of Thomas Covenant),Not Found,Not Found,,,
Wounded Land (Second Chronicles of Thomas Covenant),Not Found,Not Found,,,
"The Power That Preserves (The Chronicles of Thomas Covenant the Unbeliever, Book Three)",Not Found,Not Found,,,
Illearth War / Thomas Covenant #02 (Chronicles of Thomas Covenant the Unbeliever),Stephen R. Donaldson,,1977.0,1.0,
"Lord Foul's Bane (The Chronicles of Thomas Covenant the Unbeliever, Book One)",Not Found,Not Found,,,
Killing Mister Watson,Peter Matthiessen,,1998.0,1.0,
Exocet,Jack Higgins,,1983.0,22.0,
The Crib,"Alison Gopnik, Andrew N. Meltzoff, Patricia K. Kuhl",,2000.0,4.0,
Red Dragon,Thomas Harris,,1981.0,59.0,
Jurassic Park,Michael Crichton,,1990.0,92.0,
Imaginary Lands,"Robin McKinley, James P. Blaylock, Patricia A. McKillip, Robert Westall, Peter Dickinson, Jane Yolen, P. C. Hodgell, Michael De Larrabeiti, Joan D. Vinge",,1985.0,4.0,
So That Others May Live: Caroline Hebard &amp; Her Search-And-Rescue Dogs,Not Found,Not Found,,,
How to Get Your Kid to Eat but Not Too Much,Ellyn Satter,,1987.0,1.0,
Shape Changer,Sharon Shinn,,1995.0,3.0,
The Piano Lesson (Plume Drama),Not Found,Not Found,,,
Trading Places,Clyde V. Prestowitz,,1988.0,5.0,
Stanislaski Brothers (Silhouette Promo),Not Found,Not Found,,,
Housekeeping,Marilynne Robinson,,1980.0,33.0,
A Feather on the Breath of God: A Novel,Not Found,Not Found,,,
I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,,2002.0,1.0,
Highland Fling,Nancy Mitford,,1931.0,5.0,
Neverwhere,Neil Gaiman,,1996.0,45.0,
French Lieutenant Woman,John Fowles,,1969.0,60.0,
The Thorn Birds,"Colleen McCullough, Colleen McCullough",,1977.0,79.0,
"Fodor's Exploring London, 4th Edition (Fodor's Exploring London)",Not Found,Not Found,,,
On Her Own Ground : The Life and Times of Madam C.J. Walker,Not Found,Not Found,,,
Four Complete Lord Peter Wimsey Novels,Dorothy L. Sayers,,1982.0,3.0,
"Forever... : A Novel of Good and Evil, Love and Hope",Unknown,,,1.0,
Gift From The Sea,Anne Morrow Lindbergh,,1955.0,25.0,
The Beekeeper's Apprentice,Hendrikje Schulze,,2011.0,1.0,
The Red Tent : A Novel,Not Found,Not Found,,,
The Earth House,Anthony F. Merrill,,1947.0,1.0,
Tracks,Louise Erdrich,,1988.0,22.0,
Mother of Pearl,Melinda Haynes,,1999.0,7.0,
Baba: A Return to China upon My Father's Shoulders,Not Found,Not Found,,,
Larry's Party,Carol Shields,,1997.0,35.0,
In Love &amp; Trouble: Stories of Black Women,David Herbert Lawrence,,1877.0,553.0,
Pale Fire: A Novel (Vintage International),Not Found,Not Found,,,
The Anubis Gates,Tim Powers,,1983.0,12.0,
The Vulcan Academy Murders,Jean Lorrah,,1984.0,13.0,
